decision_step,sim_time,state,chosen_action_id,we_green_time,ns_green_time,active_phase,we_queue_length,ns_queue_length,we_max_wait,ns_max_wait,total_waiting_time
0,30,Low*Low*NoStarvation,2,30,10,WE_GREEN,0,0,0.0,0.0,0
0,43,Low*Low*NoStarvation,2,30,10,NS_GREEN,0,0,0.0,0.0,0
1,66,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,12.0,2.0,49.0
1,79,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,12.0,2.0,49.0
2,102,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,13.0,2.0,47.0
2,115,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,13.0,2.0,47.0
3,138,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,11.0,2.0,45.0
3,151,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,11.0,2.0,45.0
4,174,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,12.0,1.0,51.0
4,187,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,12.0,1.0,51.0
5,220,Medium*Low*NoStarvation,7,30,30,WE_GREEN,5,0,11.0,0.0,33.0
5,253,Medium*Low*NoStarvation,7,30,30,NS_GREEN,5,0,11.0,0.0,33.0
6,276,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,31.0,0.0,180.0
6,289,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,31.0,0.0,180.0
7,312,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,11.0,0.0,40.0
7,325,High*Low*NoStarvation,1,20,10,NS_GREEN,7,0,11.0,0.0,40.0
8,348,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,12.0,2.0,44.0
8,361,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,12.0,2.0,44.0
9,384,High*Low*NoStarvation,1,20,10,WE_GREEN,7,1,13.0,1.0,50.0
9,397,High*Low*NoStarvation,1,20,10,NS_GREEN,7,1,13.0,1.0,50.0
10,420,High*Low*NoStarvation,1,20,10,WE_GREEN,7,0,12.0,0.0,41.0
