Step,Queue_West_East,Queue_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
0,0,1,0,0.0,1.0
1,4,0,4,4.75,0.0
2,0,4,2,0.0,5.25
3,6,0,4,4.833333333333333,0.0
4,0,5,8,0.0,15.2
5,5,0,4,5.0,0.0
6,0,5,7,0.0,15.0
7,5,0,4,3.8,0.0
8,0,5,8,0.0,17.0
9,5,0,3,5.4,0.0
10,0,5,7,0.0,16.6
11,5,0,4,4.8,0.0
12,0,5,7,0.0,16.4
13,5,0,4,4.8,0.0
14,0,5,7,0.0,14.2
15,6,0,5,4.666666666666667,0.0
16,0,5,7,0.0,15.6
17,6,0,4,4.5,0.0
18,0,5,7,0.0,15.0
19,5,0,4,4.2,0.0
20,0,5,8,0.0,14.6
21,5,0,4,5.0,0.0
22,0,5,8,0.0,16.0
23,5,0,4,4.8,0.0
24,0,5,8,0.0,16.2
25,6,0,3,5.833333333333333,0.0
26,0,5,7,0.0,17.4
27,6,0,3,6.0,0.0
28,0,5,8,0.0,16.0
29,5,0,4,5.2,0.0
30,0,5,8,0.0,15.0
31,6,0,3,5.0,0.0
32,0,5,8,0.0,15.8
33,6,0,4,4.333333333333333,0.0
34,0,5,7,0.0,15.4
35,6,0,4,4.666666666666667,0.0
36,0,5,7,0.0,17.4
37,4,0,5,4.25,0.0
38,0,5,2,0.0,5.0
39,7,0,4,4.571428571428571,0.0
40,0,5,8,0.0,15.2
41,6,0,4,5.166666666666667,0.0
42,0,5,7,0.0,14.8
43,7,0,3,4.857142857142857,0.0
44,0,5,6,0.0,15.8
45,5,0,4,5.8,0.0
46,0,5,7,0.0,15.0
47,5,0,3,5.2,0.0
48,0,5,8,0.0,16.2
49,4,0,4,5.0,0.0
50,0,5,2,0.0,5.8
51,7,0,3,6.142857142857143,0.0
52,0,5,8,0.0,16.0
53,5,0,3,5.2,0.0
54,0,5,7,0.0,14.8
55,5,0,4,4.2,0.0
56,0,5,8,0.0,14.8
57,6,0,3,5.833333333333333,0.0
58,0,5,8,0.0,14.8
59,5,0,4,5.4,0.0
60,0,5,9,0.0,14.4
61,5,0,4,4.6,0.0
62,0,5,7,0.0,16.4
63,4,0,4,4.5,0.0
64,0,5,3,0.0,4.8
65,6,0,3,6.5,0.0
66,0,5,8,0.0,15.6
67,5,0,4,4.6,0.0
68,0,5,7,0.0,16.8
69,5,0,4,5.0,0.0
70,0,5,8,0.0,15.0
71,5,0,3,5.2,0.0
72,0,5,7,0.0,17.2
73,6,0,4,4.166666666666667,0.0
74,0,5,7,0.0,16.0
75,6,0,4,4.5,0.0
76,0,5,8,0.0,15.2
77,5,0,4,4.4,0.0
78,0,5,8,0.0,14.8
79,5,0,4,5.0,0.0
80,0,5,8,0.0,14.0
81,5,0,4,5.4,0.0
82,0,5,7,0.0,18.0
83,5,0,4,5.4,0.0
84,0,5,8,0.0,14.6
85,5,0,4,4.2,0.0
86,0,5,7,0.0,17.2
87,4,0,4,5.0,0.0
88,0,5,2,0.0,5.4
89,6,0,3,5.833333333333333,0.0
90,0,5,6,0.0,17.6
91,4,0,4,5.75,0.0
92,0,5,1,0.0,6.6
93,7,0,3,6.142857142857143,0.0
94,0,5,7,0.0,15.0
95,6,0,4,5.0,0.0
96,0,5,8,0.0,16.0
97,5,0,3,6.2,0.0
98,0,5,6,0.0,17.8
99,6,0,4,5.5,0.0
100,0,5,8,0.0,16.6
101,5,0,3,5.0,0.0
102,0,5,9,0.0,15.4
103,5,0,4,5.0,0.0
104,0,5,8,0.0,17.4
105,4,0,5,5.0,0.0
106,0,5,2,0.0,6.2
107,7,0,3,5.857142857142857,0.0
108,0,5,7,0.0,14.2
109,5,0,4,6.0,0.0
110,0,5,8,0.0,14.6
111,5,0,4,4.8,0.0
112,0,5,7,0.0,14.4
113,5,0,5,4.4,0.0
114,0,5,8,0.0,16.8
115,5,0,4,4.4,0.0
116,0,5,8,0.0,15.4
117,5,0,4,5.0,0.0
118,0,5,7,0.0,17.0
119,6,0,4,4.833333333333333,0.0
120,0,5,6,0.0,17.0
121,5,0,4,4.2,0.0
122,0,5,7,0.0,17.2
123,4,0,5,5.25,0.0
124,0,5,2,0.0,5.8
125,5,0,4,4.8,0.0
126,0,5,8,0.0,17.2
127,5,0,4,5.0,0.0
128,0,5,9,0.0,15.6
129,4,0,3,5.25,0.0
130,0,5,2,0.0,6.6
131,1,0,4,8.0,0.0
132,0,5,2,0.0,6.2
133,0,0,2,0.0,0.0
134,0,5,0,0.0,6.4
