step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
0,46.0,46,12.00,2.00,49.00,30,10,7,1,8,16,0.3478,0.8502,0.1111,0.3478,0.0,0.5516
1,82.0,36,13.00,2.00,47.00,20,10,7,1,8,15,0.4167,0.8563,0.1111,0.4167,0.0,0.5754
2,118.0,36,11.00,2.00,45.00,20,10,7,1,8,14,0.3889,0.8624,0.1111,0.3889,0.0,0.5701
3,154.0,36,12.00,1.00,51.00,20,10,7,1,8,14,0.3889,0.8440,0.1111,0.3889,0.0,0.5609
4,190.0,36,11.00,0.00,33.00,20,10,5,0,5,13,0.3611,0.8991,0.4444,0.3611,0.0,0.6468
5,256.0,66,31.00,0.00,180.00,30,30,7,0,7,30,0.4545,0.4495,0.2222,0.4545,0.0,0.4056
6,292.0,36,11.00,0.00,40.00,20,10,7,0,7,15,0.4167,0.8777,0.2222,0.4167,0.0,0.6083
7,328.0,36,12.00,2.00,44.00,20,10,7,1,8,15,0.4167,0.8654,0.1111,0.4167,0.0,0.5799
8,364.0,36,13.00,1.00,50.00,20,10,7,1,8,13,0.3611,0.8471,0.1111,0.3611,0.0,0.5541
9,400.0,36,12.00,0.00,41.00,20,10,7,0,7,15,0.4167,0.8746,0.2222,0.4167,0.0,0.6068
10,436.0,36,10.00,0.00,35.00,20,10,7,0,7,14,0.3889,0.8930,0.2222,0.3889,0.0,0.6076
11,472.0,36,11.00,2.00,42.00,20,10,6,1,7,15,0.4167,0.8716,0.2222,0.4167,0.0,0.6052
12,508.0,36,11.00,0.00,42.00,20,10,6,0,6,14,0.3889,0.8716,0.3333,0.3889,0.0,0.6191
13,544.0,36,13.00,0.00,48.00,20,10,7,0,7,14,0.3889,0.8532,0.2222,0.3889,0.0,0.5877
14,580.0,36,13.00,0.00,43.00,20,10,7,0,7,14,0.3889,0.8685,0.2222,0.3889,0.0,0.5954
15,616.0,36,12.00,0.00,46.00,20,10,7,0,7,15,0.4167,0.8593,0.2222,0.4167,0.0,0.5991
16,652.0,36,12.00,0.00,46.00,20,10,7,0,7,15,0.4167,0.8593,0.2222,0.4167,0.0,0.5991
17,688.0,36,12.00,0.00,48.00,20,10,7,0,7,15,0.4167,0.8532,0.2222,0.4167,0.0,0.5960
18,724.0,36,14.00,0.00,60.00,20,10,7,0,7,14,0.3889,0.8165,0.2222,0.3889,0.0,0.5694
19,760.0,36,13.00,0.00,54.00,20,10,7,0,7,15,0.4167,0.8349,0.2222,0.4167,0.0,0.5869
20,796.0,36,12.00,1.00,43.00,20,10,7,1,8,15,0.4167,0.8685,0.1111,0.4167,0.0,0.5815
21,832.0,36,11.00,0.00,39.00,20,10,6,0,6,14,0.3889,0.8807,0.3333,0.3889,0.0,0.6237
22,868.0,36,11.00,0.00,38.00,20,10,7,0,7,15,0.4167,0.8838,0.2222,0.4167,0.0,0.6113
23,904.0,36,12.00,0.00,51.00,20,10,7,0,7,14,0.3889,0.8440,0.2222,0.3889,0.0,0.5831
24,940.0,36,11.00,2.00,41.00,20,10,7,1,8,14,0.3889,0.8746,0.1111,0.3889,0.0,0.5762
25,976.0,36,13.00,0.00,45.00,20,10,7,0,7,14,0.3889,0.8624,0.2222,0.3889,0.0,0.5923
26,1012.0,36,11.00,0.00,42.00,20,10,7,0,7,14,0.3889,0.8716,0.2222,0.3889,0.0,0.5969
27,1048.0,36,10.00,0.00,33.00,20,10,6,0,6,15,0.4167,0.8991,0.3333,0.4167,0.0,0.6412
28,1084.0,36,11.00,0.00,41.00,20,10,7,0,7,16,0.4444,0.8746,0.2222,0.4444,0.0,0.6151
29,1120.0,36,11.00,2.00,39.00,20,10,6,1,7,15,0.4167,0.8807,0.2222,0.4167,0.0,0.6098
30,1156.0,36,12.00,0.00,48.00,20,10,7,0,7,14,0.3889,0.8532,0.2222,0.3889,0.0,0.5877
31,1192.0,36,10.00,0.00,38.00,20,10,7,0,7,14,0.3889,0.8838,0.2222,0.3889,0.0,0.6030
32,1228.0,36,12.00,0.00,42.00,20,10,7,0,7,14,0.3889,0.8716,0.2222,0.3889,0.0,0.5969
33,1264.0,36,12.00,0.00,50.00,20,10,7,0,7,14,0.3889,0.8471,0.2222,0.3889,0.0,0.5847
34,1300.0,36,12.00,0.00,49.00,20,10,7,0,7,15,0.4167,0.8502,0.2222,0.4167,0.0,0.5945
35,1336.0,36,11.00,0.00,43.00,20,10,7,0,7,14,0.3889,0.8685,0.2222,0.3889,0.0,0.5954
36,1372.0,36,11.00,0.00,40.00,20,10,7,0,7,15,0.4167,0.8777,0.2222,0.4167,0.0,0.6083
37,1408.0,36,13.00,0.00,48.00,20,10,7,0,7,14,0.3889,0.8532,0.2222,0.3889,0.0,0.5877
38,1444.0,36,12.00,0.00,41.00,20,10,7,0,7,15,0.4167,0.8746,0.2222,0.4167,0.0,0.6068
39,1480.0,36,12.00,0.00,40.00,20,10,7,0,7,14,0.3889,0.8777,0.2222,0.3889,0.0,0.5999
40,1516.0,36,10.00,0.00,34.00,20,10,7,0,7,15,0.4167,0.8960,0.2222,0.4167,0.0,0.6175
41,1552.0,36,12.00,0.00,40.00,20,10,6,0,6,14,0.3889,0.8777,0.3333,0.3889,0.0,0.6222
42,1588.0,36,12.00,0.00,46.00,20,10,7,0,7,16,0.4444,0.8593,0.2222,0.4444,0.0,0.6074
43,1624.0,36,11.00,0.00,36.00,20,10,6,0,6,15,0.4167,0.8899,0.3333,0.4167,0.0,0.6366
44,1660.0,36,11.00,0.00,41.00,20,10,7,0,7,15,0.4167,0.8746,0.2222,0.4167,0.0,0.6068
45,1696.0,36,10.00,0.00,37.00,20,10,6,0,6,16,0.4444,0.8869,0.3333,0.4444,0.0,0.6434
46,1732.0,36,13.00,0.00,46.00,20,10,7,0,7,15,0.4167,0.8593,0.2222,0.4167,0.0,0.5991
47,1768.0,36,12.00,0.00,35.00,20,10,6,0,6,14,0.3889,0.8930,0.3333,0.3889,0.0,0.6298
48,1804.0,36,10.00,0.00,39.00,20,10,7,0,7,16,0.4444,0.8807,0.2222,0.4444,0.0,0.6181
49,1840.0,36,11.00,1.00,44.00,20,10,7,1,8,15,0.4167,0.8654,0.1111,0.4167,0.0,0.5799
50,1876.0,36,12.00,1.00,51.00,20,10,7,1,8,14,0.3889,0.8440,0.1111,0.3889,0.0,0.5609
51,1912.0,36,12.00,0.00,36.00,20,10,6,0,6,14,0.3889,0.8899,0.3333,0.3889,0.0,0.6283
52,1948.0,36,12.00,0.00,42.00,20,10,7,0,7,15,0.4167,0.8716,0.2222,0.4167,0.0,0.6052
53,1984.0,36,11.00,0.00,41.00,20,10,7,0,7,14,0.3889,0.8746,0.2222,0.3889,0.0,0.5984
54,2020.0,36,12.00,1.00,41.00,20,10,7,1,8,16,0.4444,0.8746,0.1111,0.4444,0.0,0.5929
55,2056.0,36,12.00,0.00,49.00,20,10,7,0,7,13,0.3611,0.8502,0.2222,0.3611,0.0,0.5779
56,2092.0,36,11.00,1.00,43.00,20,10,7,1,8,15,0.4167,0.8685,0.1111,0.4167,0.0,0.5815
57,2128.0,36,12.00,0.00,54.00,20,10,7,0,7,15,0.4167,0.8349,0.2222,0.4167,0.0,0.5869
58,2164.0,36,10.00,0.00,37.00,20,10,7,0,7,15,0.4167,0.8869,0.2222,0.4167,0.0,0.6129
59,2200.0,36,12.00,0.00,45.00,20,10,7,0,7,15,0.4167,0.8624,0.2222,0.4167,0.0,0.6006
60,2236.0,36,11.00,0.00,38.00,20,10,6,0,6,15,0.4167,0.8838,0.3333,0.4167,0.0,0.6336
61,2272.0,36,13.00,0.00,52.00,20,10,7,0,7,13,0.3611,0.8410,0.2222,0.3611,0.0,0.5733
62,2308.0,36,13.00,0.00,51.00,20,10,7,0,7,14,0.3889,0.8440,0.2222,0.3889,0.0,0.5831
63,2344.0,36,11.00,0.00,43.00,20,10,7,0,7,12,0.3333,0.8685,0.2222,0.3333,0.0,0.5787
64,2380.0,36,11.00,0.00,42.00,20,10,6,0,6,10,0.2778,0.8716,0.3333,0.2778,0.0,0.5858
65,2416.0,36,11.00,0.00,43.00,20,10,7,0,7,10,0.2778,0.8685,0.2222,0.2778,0.0,0.5620
66,2452.0,36,12.00,0.00,43.00,20,10,7,0,7,10,0.2778,0.8685,0.2222,0.2778,0.0,0.5620
67,2488.0,36,14.00,0.00,54.00,20,10,7,0,7,10,0.2778,0.8349,0.2222,0.2778,0.0,0.5452
68,2524.0,36,12.00,0.00,48.00,20,10,7,0,7,10,0.2778,0.8532,0.2222,0.2778,0.0,0.5544
