step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
0,46.0,46,12.00,0.00,43.00,30,10,7,0,7,16,0.3478,0.8685,0.2222,0.3478,0.0,0.5830
1,82.0,36,10.00,0.00,36.00,20,10,7,0,7,15,0.4167,0.8899,0.2222,0.4167,0.0,0.6144
2,118.0,36,11.00,0.00,47.00,20,10,7,0,7,14,0.3889,0.8563,0.2222,0.3889,0.0,0.5892
3,154.0,36,12.00,0.00,50.00,20,10,7,0,7,15,0.4167,0.8471,0.2222,0.4167,0.0,0.5930
4,190.0,36,14.00,0.00,57.00,20,10,7,0,7,14,0.3889,0.8257,0.2222,0.3889,0.0,0.5740
5,226.0,36,12.00,0.00,46.00,20,10,7,0,7,14,0.3889,0.8593,0.2222,0.3889,0.0,0.5908
6,262.0,36,13.00,0.00,51.00,20,10,7,0,7,13,0.3611,0.8440,0.2222,0.3611,0.0,0.5748
7,298.0,36,13.00,0.00,52.00,20,10,7,0,7,14,0.3889,0.8410,0.2222,0.3889,0.0,0.5816
8,334.0,36,11.00,0.00,41.00,20,10,7,0,7,14,0.3889,0.8746,0.2222,0.3889,0.0,0.5984
9,370.0,36,13.00,1.00,50.00,20,10,7,1,8,15,0.4167,0.8471,0.1111,0.4167,0.0,0.5708
10,406.0,36,12.00,0.00,45.00,20,10,7,0,7,12,0.3333,0.8624,0.2222,0.3333,0.0,0.5756
11,442.0,36,12.00,0.00,44.00,20,10,7,0,7,15,0.4167,0.8654,0.2222,0.4167,0.0,0.6022
12,478.0,36,12.00,0.00,49.00,20,10,7,0,7,14,0.3889,0.8502,0.2222,0.3889,0.0,0.5862
13,514.0,36,12.00,0.00,46.00,20,10,7,0,7,15,0.4167,0.8593,0.2222,0.4167,0.0,0.5991
14,550.0,36,12.00,1.00,45.00,20,10,6,1,7,15,0.4167,0.8624,0.2222,0.4167,0.0,0.6006
15,586.0,36,11.00,1.00,38.00,20,10,6,1,7,14,0.3889,0.8838,0.2222,0.3889,0.0,0.6030
16,622.0,36,12.00,0.00,45.00,20,10,7,0,7,14,0.3889,0.8624,0.2222,0.3889,0.0,0.5923
17,658.0,36,10.00,0.00,36.00,20,10,7,0,7,15,0.4167,0.8899,0.2222,0.4167,0.0,0.6144
18,694.0,36,12.00,0.00,48.00,20,10,7,0,7,14,0.3889,0.8532,0.2222,0.3889,0.0,0.5877
19,730.0,36,11.00,0.00,38.00,20,10,6,0,6,15,0.4167,0.8838,0.3333,0.4167,0.0,0.6336
20,766.0,36,14.00,0.00,50.00,20,10,7,0,7,14,0.3889,0.8471,0.2222,0.3889,0.0,0.5847
21,802.0,36,13.00,0.00,46.00,20,10,7,0,7,14,0.3889,0.8593,0.2222,0.3889,0.0,0.5908
22,838.0,36,13.00,0.00,43.00,20,10,7,0,7,16,0.4444,0.8685,0.2222,0.4444,0.0,0.6120
23,874.0,36,11.00,0.00,42.00,20,10,7,0,7,15,0.4167,0.8716,0.2222,0.4167,0.0,0.6052
24,910.0,36,12.00,0.00,51.00,20,10,7,0,7,14,0.3889,0.8440,0.2222,0.3889,0.0,0.5831
25,946.0,36,11.00,0.00,43.00,20,10,7,0,7,15,0.4167,0.8685,0.2222,0.4167,0.0,0.6037
26,982.0,36,13.00,0.00,52.00,20,10,7,0,7,15,0.4167,0.8410,0.2222,0.4167,0.0,0.5899
27,1018.0,36,13.00,0.00,48.00,20,10,7,0,7,15,0.4167,0.8532,0.2222,0.4167,0.0,0.5960
28,1054.0,36,12.00,0.00,49.00,20,10,7,0,7,14,0.3889,0.8502,0.2222,0.3889,0.0,0.5862
29,1090.0,36,11.00,0.00,47.00,20,10,7,0,7,16,0.4444,0.8563,0.2222,0.4444,0.0,0.6059
30,1126.0,36,12.00,0.00,41.00,20,10,6,0,6,15,0.4167,0.8746,0.3333,0.4167,0.0,0.6290
31,1162.0,36,11.00,0.00,44.00,20,10,7,0,7,15,0.4167,0.8654,0.2222,0.4167,0.0,0.6022
32,1198.0,36,11.00,2.00,43.00,20,10,7,1,8,15,0.4167,0.8685,0.1111,0.4167,0.0,0.5815
33,1234.0,36,11.00,1.00,46.00,20,10,7,1,8,13,0.3611,0.8593,0.1111,0.3611,0.0,0.5602
34,1270.0,36,12.00,0.00,44.00,20,10,7,0,7,15,0.4167,0.8654,0.2222,0.4167,0.0,0.6022
35,1306.0,36,13.00,0.00,56.00,20,10,7,0,7,15,0.4167,0.8287,0.2222,0.4167,0.0,0.5838
36,1342.0,36,11.00,1.00,41.00,20,10,7,1,8,16,0.4444,0.8746,0.1111,0.4444,0.0,0.5929
37,1378.0,36,11.00,2.00,39.00,20,10,7,1,8,14,0.3889,0.8807,0.1111,0.3889,0.0,0.5793
38,1414.0,36,11.00,0.00,44.00,20,10,7,0,7,13,0.3611,0.8654,0.2222,0.3611,0.0,0.5855
39,1450.0,36,12.00,0.00,49.00,20,10,7,0,7,15,0.4167,0.8502,0.2222,0.4167,0.0,0.5945
40,1486.0,36,13.00,0.00,52.00,20,10,7,0,7,14,0.3889,0.8410,0.2222,0.3889,0.0,0.5816
41,1522.0,36,12.00,0.00,43.00,20,10,7,0,7,15,0.4167,0.8685,0.2222,0.4167,0.0,0.6037
42,1558.0,36,11.00,2.00,40.00,20,10,6,1,7,14,0.3889,0.8777,0.2222,0.3889,0.0,0.5999
