step,simulation_time,action_duration,we_waiting_time,ns_waiting_time,total_waiting_time,we_green_duration,ns_green_duration,we_queue_length,ns_queue_length,total_queue_length,throughput_completed,throughput_rate,normalized_W_q,normalized_Q_q,normalized_T_q,starvation_penalty,total_reward
0,46.0,46,10.00,0.00,19.00,30,10,3,0,3,5,0.1087,0.9419,0.6667,0.1087,0.0,0.6369
1,112.0,66,32.00,0.00,86.00,30,30,3,0,3,12,0.1818,0.7370,0.6667,0.1818,0.0,0.5564
2,178.0,66,24.00,0.00,48.00,30,30,4,0,4,9,0.1364,0.8532,0.5556,0.1364,0.0,0.5786
3,244.0,66,30.00,0.00,87.00,30,30,7,0,7,15,0.2273,0.7339,0.2222,0.2273,0.0,0.4796
4,280.0,36,13.00,0.00,46.00,20,10,6,0,6,10,0.2778,0.8593,0.3333,0.2778,0.0,0.5797
5,316.0,36,11.00,0.00,31.00,20,10,4,0,4,7,0.1944,0.9052,0.5556,0.1944,0.0,0.6220
6,382.0,66,32.00,0.00,141.00,30,30,7,0,7,15,0.2273,0.5688,0.2222,0.2273,0.0,0.3970
7,418.0,36,13.00,0.00,18.00,20,10,3,0,3,11,0.3056,0.9450,0.6667,0.3056,0.0,0.6975
8,484.0,66,24.00,0.00,24.00,30,30,1,0,1,13,0.1970,0.9266,0.8889,0.1970,0.0,0.7002
9,530.0,46,9.00,0.00,9.00,30,10,1,0,1,8,0.1739,0.9725,0.8889,0.1739,0.0,0.7162
10,576.0,46,10.00,0.00,10.00,30,10,1,0,1,10,0.2174,0.9694,0.8889,0.2174,0.0,0.7277
11,622.0,46,7.00,0.00,8.00,30,10,3,0,3,8,0.1739,0.9755,0.6667,0.1739,0.0,0.6733
12,688.0,66,24.00,0.00,77.00,30,30,6,0,6,10,0.1515,0.7645,0.3333,0.1515,0.0,0.4944
13,724.0,36,0.00,0.00,0.00,20,10,0,0,0,8,0.2222,1.0000,1.0000,0.2222,0.0,0.7667
14,770.0,46,10.00,0.00,10.00,30,10,1,0,1,9,0.1957,0.9694,0.8889,0.1957,0.0,0.7212
15,816.0,46,2.00,0.00,2.00,30,10,1,0,1,11,0.2391,0.9939,0.8889,0.2391,0.0,0.7465
16,862.0,46,12.00,0.00,13.00,30,10,2,0,2,11,0.2391,0.9602,0.7778,0.2391,0.0,0.7074
17,908.0,46,11.00,0.00,11.00,30,10,2,0,2,8,0.1739,0.9664,0.7778,0.1739,0.0,0.6909
18,954.0,46,7.00,0.00,7.00,30,10,1,0,1,7,0.1522,0.9786,0.8889,0.1522,0.0,0.7127
19,1000.0,46,12.00,0.00,19.00,30,10,3,0,3,9,0.1957,0.9419,0.6667,0.1957,0.0,0.6630
