Step,Queue_West_East,Queue_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South
0,0,0,0,0.0,0.0
1,2,0,2,6.5,0.0
2,0,1,1,0.0,1.0
3,5,0,4,5.2,0.0
4,0,2,7,0.0,17.0
5,5,0,4,4.4,0.0
6,0,1,7,0.0,14.0
7,5,0,4,4.8,0.0
8,0,2,7,0.0,5.5
9,5,0,4,4.6,0.0
10,0,1,7,0.0,18.0
11,5,0,4,3.6,0.0
12,0,0,7,0.0,0.0
13,5,0,4,4.6,0.0
14,0,1,7,0.0,17.0
15,5,0,3,4.8,0.0
16,0,3,6,0.0,6.333333333333333
17,6,0,4,4.666666666666667,0.0
18,0,3,7,0.0,15.666666666666666
19,6,0,3,5.666666666666667,0.0
20,0,5,7,0.0,10.2
21,6,0,3,4.666666666666667,0.0
22,0,3,7,0.0,9.0
23,6,0,4,4.333333333333333,0.0
24,0,3,7,0.0,10.333333333333334
25,5,0,4,5.2,0.0
26,0,2,7,0.0,9.5
27,7,0,3,5.428571428571429,0.0
28,0,3,7,0.0,6.0
29,5,0,3,5.2,0.0
30,0,1,6,0.0,6.0
31,4,0,3,5.25,0.0
32,0,1,1,0.0,1.0
33,6,0,3,6.166666666666667,0.0
34,0,4,8,0.0,8.75
35,4,0,4,5.75,0.0
36,0,0,2,0.0,0.0
37,6,0,4,4.666666666666667,0.0
38,0,1,7,0.0,5.0
39,5,0,3,6.2,0.0
40,0,1,6,0.0,15.0
41,4,0,3,5.0,0.0
42,0,0,1,0.0,0.0
43,5,0,3,5.0,0.0
44,0,2,7,0.0,7.5
45,5,0,4,5.4,0.0
46,0,1,7,0.0,7.0
47,6,0,4,4.5,0.0
48,0,2,8,0.0,6.0
49,5,0,4,4.6,0.0
50,0,4,8,0.0,13.5
51,4,0,4,3.5,0.0
52,0,3,2,0.0,4.333333333333333
53,5,0,4,5.6,0.0
54,0,0,8,0.0,0.0
55,6,0,3,4.0,0.0
56,0,2,7,0.0,7.0
57,5,0,4,4.2,0.0
58,0,3,7,0.0,10.666666666666666
59,5,0,5,4.8,0.0
60,0,0,7,0.0,0.0
61,4,0,1,4.75,0.0
62,0,0,1,0.0,0.0
63,5,0,2,5.2,0.0
64,0,0,6,0.0,0.0
65,6,0,2,4.666666666666667,0.0
66,0,0,7,0.0,0.0
67,0,0,1,0.0,0.0
