Step,Queue_West_East,Queue_North_South,Queue_SD,Arrival_West_East,Arrival_North_South,Throughput_Step,Avg_Waiting_Time_West_East,Avg_Waiting_Time_North_South,WE_Green_Duration,NS_Green_Duration
46,6,0,3.00,0,0,14,5.00,0.00,30,10
82,7,0,3.50,0,0,14,5.50,0.00,20,10
118,7,0,3.50,0,0,15,5.50,0.00,20,10
154,7,0,3.50,0,0,14,6.00,0.00,20,10
190,7,0,3.50,0,0,14,7.00,0.00,20,10
226,7,0,3.50,0,0,14,6.50,0.00,20,10
262,7,0,3.50,0,0,14,5.50,0.00,20,10
298,7,0,3.50,0,0,15,5.50,0.00,20,10
334,7,0,3.50,0,0,15,6.00,0.00,20,10
370,6,0,3.00,0,0,15,5.00,0.00,20,10
406,7,0,3.50,0,0,14,6.00,0.00,20,10
442,7,0,3.50,0,0,14,5.50,0.00,20,10
478,7,0,3.50,0,0,15,6.00,0.00,20,10
514,7,0,3.50,0,0,15,6.00,0.00,20,10
550,6,1,2.50,0,0,15,4.50,1.00,20,10
586,7,1,3.00,0,0,14,6.00,1.00,20,10
622,7,1,3.00,0,0,14,6.00,0.50,20,10
658,7,0,3.50,0,0,14,6.00,0.00,20,10
694,7,0,3.50,0,0,15,6.50,0.00,20,10
730,6,0,3.00,0,0,14,6.00,0.00,20,10
766,7,0,3.50,0,0,15,6.00,0.00,20,10
802,6,0,3.00,0,0,15,5.50,0.00,20,10
838,7,0,3.50,0,0,15,5.00,0.00,20,10
874,7,0,3.50,0,0,15,5.50,0.00,20,10
910,7,1,3.00,0,0,14,6.50,1.00,20,10
946,6,0,3.00,0,0,14,5.50,0.00,20,10
982,7,1,3.00,0,0,15,6.00,0.50,20,10
1018,7,0,3.50,0,0,15,6.00,0.00,20,10
1054,6,1,2.50,0,0,14,5.50,0.50,20,10
1090,7,0,3.50,0,0,15,6.00,0.00,20,10
1126,7,0,3.50,0,0,15,5.00,0.00,20,10
1162,7,1,3.00,0,0,14,6.00,0.50,20,10
1198,7,0,3.50,0,0,15,5.50,0.00,20,10
1234,7,0,3.50,0,0,15,5.50,0.00,20,10
1270,7,1,3.00,0,0,15,6.00,1.00,20,10
1306,7,1,3.00,0,0,13,5.50,0.50,20,10
1342,7,0,3.50,0,0,15,6.00,0.00,20,10
1378,6,0,3.00,0,0,15,6.00,0.00,20,10
1414,7,0,3.50,0,0,14,6.50,0.00,20,10
1450,0,0,0.00,0,0,15,0.00,0.00,20,10
1496,0,0,0.00,0,0,5,0.00,0.00,30,10
1542,0,0,0.00,0,0,4,0.00,0.00,30,10
1588,0,0,0.00,0,0,6,0.00,0.00,30,10
1634,0,0,0.00,0,0,5,0.00,0.00,30,10
1680,0,0,0.00,0,0,5,0.00,0.00,30,10
1726,0,0,0.00,0,0,5,0.00,0.00,30,10
1772,0,1,0.50,0,0,4,0.00,1.00,30,10
1818,0,0,0.00,0,0,5,0.00,0.00,30,10
1864,0,0,0.00,0,0,4,0.00,0.00,30,10
1910,0,0,0.00,0,0,4,0.00,0.00,30,10
1956,0,1,0.50,0,0,5,0.00,1.00,30,10
2002,0,0,0.00,0,0,4,0.00,0.00,30,10
2048,0,1,0.50,0,0,5,0.00,1.00,30,10
2094,0,0,0.00,0,0,4,0.00,0.00,30,10
2140,0,0,0.00,0,0,5,0.00,0.00,30,10
2186,0,0,0.00,0,0,5,0.00,0.00,30,10
2232,0,0,0.00,0,0,4,0.00,0.00,30,10
2278,0,0,0.00,0,0,5,0.00,0.00,30,10
2324,0,0,0.00,0,0,4,0.00,0.00,30,10
2370,0,0,0.00,0,0,4,0.00,0.00,30,10
2416,0,0,0.00,0,0,5,0.00,0.00,30,10
2462,0,0,0.00,0,0,5,0.00,0.00,30,10
2508,0,0,0.00,0,0,5,0.00,0.00,30,10
2554,0,1,0.50,0,0,5,0.00,1.00,30,10
2600,0,0,0.00,0,0,4,0.00,0.00,30,10
2646,0,0,0.00,0,0,5,0.00,0.00,30,10
2692,0,0,0.00,0,0,5,0.00,0.00,30,10
2738,0,0,0.00,0,0,5,0.00,0.00,30,10
2784,0,0,0.00,0,0,5,0.00,0.00,30,10
2830,0,0,0.00,0,0,5,0.00,0.00,30,10
2876,0,0,0.00,0,0,5,0.00,0.00,30,10
2922,0,0,0.00,0,0,5,0.00,0.00,30,10
2968,0,1,0.50,0,0,5,0.00,1.00,30,10
3014,0,0,0.00,0,0,4,0.00,0.00,30,10
3060,0,0,0.00,0,0,4,0.00,0.00,30,10
3106,0,0,0.00,0,0,5,0.00,0.00,30,10
3152,0,0,0.00,0,0,5,0.00,0.00,30,10
3198,0,0,0.00,0,0,4,0.00,0.00,30,10
3244,0,1,0.50,0,0,4,0.00,0.50,30,10
3290,0,0,0.00,0,0,5,0.00,0.00,30,10
3336,0,1,0.50,0,0,5,0.00,0.50,30,10
3382,0,0,0.00,0,0,4,0.00,0.00,30,10
3428,0,0,0.00,0,0,5,0.00,0.00,30,10
3474,0,0,0.00,0,0,4,0.00,0.00,30,10
3520,0,0,0.00,0,0,5,0.00,0.00,30,10
3566,0,0,0.00,0,0,5,0.00,0.00,30,10
