Step,Queue_West_East,Queue_North_South,Queue_SD,Throughput_Step,Avg_Waiting_Time
1,0,0,0.0,0,0.0
2,0,0,0.0,0,0.0
3,0,0,0.0,0,0.0
4,0,0,0.0,0,0.0
5,0,0,0.0,0,0.0
6,0,2,1.0,0,0.33
7,0,1,0.5,0,0.67
8,0,1,0.5,0,1.0
9,0,1,0.5,0,1.33
10,0,1,0.5,1,2.5
11,0,1,0.5,0,1.5
12,0,1,0.5,0,1.75
13,0,1,0.5,0,2.0
14,0,2,1.0,0,2.5
15,0,2,1.0,1,4.0
16,0,2,1.0,0,2.8
17,0,2,1.0,0,3.2
18,0,3,1.5,0,3.8
19,0,3,1.5,0,4.4
20,0,3,1.5,1,6.25
21,0,4,2.0,0,4.67
22,0,4,2.0,0,5.33
23,0,4,2.0,0,6.0
24,0,4,2.0,0,6.67
25,0,5,2.5,1,9.0
26,0,5,2.5,0,8.33
27,0,5,2.5,0,9.17
28,0,5,2.5,0,10.0
29,0,5,2.5,0,10.83
30,0,5,2.5,0,14.0
31,0,5,2.5,1,12.5
32,0,5,2.5,0,13.33
33,0,5,2.5,0,14.17
34,0,5,2.5,0,15.0
35,0,5,2.5,1,19.0
36,0,5,2.5,0,16.67
37,0,5,2.5,0,17.5
38,0,5,2.5,0,18.33
39,0,5,2.5,0,19.17
40,0,5,2.5,1,24.0
41,0,5,2.5,0,20.83
42,0,5,2.5,0,21.67
43,0,5,2.5,0,22.5
44,0,5,2.5,0,23.33
45,0,5,2.5,1,24.17
46,0,4,2.0,0,18.17
47,0,3,1.5,0,13.17
48,0,2,1.0,0,8.5
49,1,1,0.0,0,5.2
50,1,0,0.5,0,0.4
51,1,0,0.5,0,0.6
52,1,0,0.5,1,0.8
53,1,0,0.5,0,1.0
54,2,0,1.0,1,1.4
55,2,0,1.0,0,2.25
56,2,0,1.0,1,1.83
57,2,0,1.0,0,2.6
58,2,0,1.0,1,2.5
59,3,0,1.5,0,3.6
60,3,0,1.5,1,3.5
61,3,0,1.5,1,4.0
62,3,0,1.5,0,3.86
63,3,0,1.5,1,5.0
64,3,0,1.5,0,4.71
65,4,0,2.0,1,6.17
66,6,0,3.0,0,5.25
67,5,0,2.5,1,6.71
68,5,0,2.5,0,6.5
69,5,0,2.5,1,8.14
70,5,0,2.5,0,7.75
71,7,0,3.5,1,8.5
72,6,0,3.0,0,8.22
73,6,0,3.0,0,10.0
74,6,0,3.0,1,10.75
75,7,0,3.5,0,13.29
76,7,0,3.5,1,12.5
77,7,0,3.5,0,13.38
78,7,0,3.5,1,14.25
79,7,0,3.5,1,17.29
80,7,0,3.5,0,18.29
81,7,0,3.5,0,16.88
82,7,0,3.5,0,17.75
83,7,0,3.5,1,18.62
84,7,0,3.5,0,22.29
85,7,0,3.5,0,23.29
86,7,0,3.5,0,21.25
87,7,0,3.5,0,22.12
88,7,0,3.5,1,23.0
89,7,0,3.5,0,23.88
90,7,0,3.5,0,24.75
91,6,0,3.0,0,20.25
92,5,1,2.0,0,16.25
93,4,1,1.5,0,12.62
94,3,1,1.0,0,10.86
95,2,1,0.5,0,7.14
96,1,1,0.0,0,3.38
97,0,2,1.0,0,1.0
98,0,2,1.0,0,1.29
99,0,2,1.0,1,1.83
100,0,2,1.0,0,2.17
101,0,3,1.5,1,2.14
102,0,3,1.5,0,2.57
103,0,3,1.5,1,3.5
104,0,3,1.5,1,4.0
105,0,3,1.5,0,4.5
106,0,4,2.0,0,4.29
107,0,3,1.5,1,4.71
108,0,4,2.0,0,5.29
109,0,4,2.0,1,5.86
110,0,5,2.5,0,6.57
111,0,5,2.5,1,7.29
112,0,5,2.5,1,8.0
113,0,5,2.5,0,8.71
114,0,5,2.5,1,9.43
115,0,5,2.5,0,10.14
116,0,5,2.5,1,10.86
117,0,5,2.5,0,11.57
118,0,5,2.5,1,12.29
119,0,5,2.5,1,13.0
120,0,5,2.5,0,16.0
121,0,5,2.5,1,14.43
122,0,5,2.5,0,17.67
123,0,5,2.5,1,18.5
124,0,5,2.5,0,19.33
125,0,5,2.5,1,24.2
126,0,5,2.5,0,21.0
127,0,5,2.5,1,21.83
128,0,5,2.5,0,22.67
129,0,5,2.5,0,23.5
130,0,5,2.5,0,24.33
131,0,5,2.5,0,25.17
132,0,5,2.5,1,26.0
133,0,5,2.5,0,26.83
134,0,5,2.5,0,27.67
135,0,5,2.5,0,28.5
136,0,4,2.0,0,21.83
137,0,3,1.5,1,15.67
138,1,2,0.5,0,10.17
139,1,1,0.0,0,6.4
140,1,0,0.5,0,0.6
141,1,0,0.5,0,0.67
142,1,0,0.5,1,1.0
143,2,0,1.0,0,1.4
144,2,0,1.0,1,1.8
145,2,0,1.0,0,2.2
146,2,0,1.0,0,2.17
147,2,0,1.0,1,2.5
148,3,0,1.5,1,3.0
149,3,0,1.5,0,3.5
150,3,0,1.5,1,4.0
151,3,0,1.5,0,3.86
152,3,0,1.5,1,4.29
153,3,0,1.5,0,4.71
154,4,0,2.0,1,5.29
155,4,0,2.0,0,5.86
156,4,0,2.0,1,5.62
157,5,0,2.5,0,7.14
158,5,0,2.5,1,6.88
159,5,0,2.5,0,8.57
160,5,0,2.5,1,8.12
161,7,0,3.5,1,8.88
162,6,0,3.0,0,8.56
163,6,0,3.0,1,10.38
164,7,0,3.5,0,10.0
165,7,0,3.5,1,12.12
166,7,0,3.5,0,11.56
167,7,0,3.5,1,13.88
168,7,0,3.5,0,14.75
169,7,0,3.5,1,17.86
170,7,0,3.5,0,18.86
171,7,0,3.5,0,17.38
172,7,0,3.5,1,18.25
173,7,0,3.5,0,19.12
174,7,0,3.5,1,22.86
175,7,0,3.5,0,23.86
176,7,0,3.5,0,21.75
177,7,0,3.5,0,22.62
178,7,0,3.5,1,23.5
179,7,0,3.5,0,24.38
180,7,0,3.5,0,25.25
181,6,0,3.0,0,20.62
182,5,0,2.5,0,16.38
183,4,1,1.5,0,12.62
184,3,1,1.0,0,10.71
185,2,1,0.5,0,7.14
186,1,1,0.0,0,3.38
187,0,1,0.5,0,0.71
188,0,1,0.5,0,0.86
189,0,2,1.0,1,1.33
190,0,2,1.0,0,1.67
191,0,2,1.0,1,1.71
192,0,2,1.0,0,2.0
193,0,3,1.5,1,2.83
194,0,3,1.5,0,2.86
195,0,3,1.5,1,3.83
196,0,4,2.0,0,3.71
197,0,4,2.0,1,4.29
198,0,4,2.0,1,4.86
199,0,4,2.0,0,5.43
200,0,5,2.5,0,6.14
201,0,5,2.5,1,6.86
202,0,5,2.5,0,7.57
203,0,5,2.5,1,8.29
204,0,5,2.5,1,9.0
205,0,5,2.5,0,9.71
206,0,5,2.5,0,10.43
207,0,5,2.5,1,11.14
208,0,5,2.5,0,11.86
209,0,5,2.5,1,12.57
210,0,5,2.5,0,13.29
211,0,5,2.5,1,14.0
212,0,5,2.5,1,14.71
213,0,5,2.5,0,18.0
214,0,5,2.5,1,18.83
215,0,5,2.5,0,23.6
216,0,5,2.5,1,20.5
217,0,5,2.5,0,21.33
218,0,5,2.5,1,22.17
219,0,5,2.5,0,23.0
220,0,5,2.5,1,28.6
221,0,5,2.5,0,24.67
222,0,5,2.5,0,25.5
223,0,5,2.5,0,26.33
224,0,5,2.5,0,27.17
225,0,5,2.5,1,28.0
226,0,4,2.0,0,21.5
227,0,3,1.5,0,15.67
228,0,2,1.0,0,10.17
229,1,1,0.0,0,6.2
230,1,0,0.5,0,0.4
231,1,0,0.5,0,0.5
232,1,0,0.5,1,0.8
233,1,0,0.5,0,0.83
234,1,0,0.5,1,1.2
235,2,0,1.0,0,1.6
236,2,0,1.0,1,1.67
237,2,0,1.0,0,2.0
238,3,0,1.5,1,2.5
239,3,0,1.5,0,3.0
240,3,0,1.5,1,3.5
241,3,0,1.5,0,3.43
242,3,0,1.5,1,3.86
243,4,0,2.0,0,5.17
244,4,0,2.0,1,5.0
245,4,0,2.0,0,6.5
246,6,0,3.0,1,5.5
247,5,0,2.5,1,7.0
248,5,0,2.5,0,6.75
249,5,0,2.5,1,8.43
250,6,0,3.0,0,8.12
251,7,0,3.5,0,8.88
252,6,0,3.0,1,8.56
253,6,0,3.0,0,10.38
254,6,0,3.0,1,9.89
255,7,0,3.5,1,12.0
256,7,0,3.5,0,11.44
257,7,0,3.5,0,13.75
258,7,0,3.5,1,14.62
259,7,0,3.5,1,17.71
260,7,0,3.5,0,18.71
261,7,0,3.5,1,17.25
262,7,0,3.5,0,18.12
263,7,0,3.5,1,19.0
264,7,0,3.5,0,22.71
265,7,0,3.5,0,23.71
266,7,0,3.5,0,21.62
267,7,0,3.5,0,22.5
268,7,0,3.5,1,23.38
269,7,0,3.5,0,24.25
270,7,0,3.5,0,25.12
271,6,0,3.0,0,20.62
272,5,1,2.0,0,16.75
273,4,1,1.5,0,13.0
274,3,1,1.0,0,11.0
275,2,1,0.5,0,7.29
276,1,1,0.0,0,3.38
277,0,1,0.5,0,0.86
278,0,1,0.5,0,1.0
279,0,2,1.0,1,1.5
280,0,2,1.0,0,1.83
281,0,4,2.0,1,2.0
282,0,3,1.5,0,2.43
283,0,3,1.5,1,3.33
284,0,3,1.5,0,3.29
285,0,4,2.0,1,4.5
286,0,5,2.5,0,4.43
287,0,4,2.0,1,5.0
288,0,4,2.0,1,5.57
289,0,4,2.0,0,6.14
290,0,5,2.5,1,6.86
291,0,5,2.5,0,7.57
292,0,5,2.5,1,8.29
293,0,5,2.5,0,9.0
294,0,5,2.5,1,9.71
295,0,5,2.5,0,10.43
296,0,5,2.5,1,11.14
297,0,5,2.5,0,11.86
298,0,5,2.5,1,12.57
299,0,5,2.5,0,13.29
300,0,5,2.5,1,16.33
301,0,5,2.5,0,14.71
302,0,5,2.5,1,18.0
303,0,5,2.5,0,18.83
304,0,5,2.5,1,19.67
305,0,5,2.5,1,24.6
306,0,5,2.5,0,21.33
307,0,5,2.5,1,22.17
308,0,5,2.5,0,23.0
309,0,5,2.5,0,23.83
310,0,5,2.5,0,29.6
311,0,5,2.5,1,25.5
312,0,5,2.5,0,26.33
313,0,5,2.5,0,27.17
314,0,5,2.5,0,28.0
315,0,5,2.5,1,28.83
316,0,4,2.0,0,22.17
317,0,3,1.5,0,16.33
318,0,2,1.0,0,10.5
319,1,1,0.0,0,5.17
320,1,0,0.5,0,0.4
321,1,0,0.5,0,0.5
322,1,0,0.5,0,0.8
323,1,0,0.5,1,1.0
324,1,0,0.5,0,1.2
325,2,0,1.0,1,1.6
326,2,0,1.0,0,2.0
327,2,0,1.0,1,2.0
328,3,0,1.5,0,3.0
329,3,0,1.5,1,3.0
330,3,0,1.5,0,4.2
331,3,0,1.5,1,3.43
332,3,0,1.5,1,4.5
333,3,0,1.5,0,4.29
334,4,0,2.0,1,5.67
335,4,0,2.0,0,5.43
336,5,0,2.5,1,6.0
337,4,0,2.0,0,5.75
338,5,0,2.5,1,7.29
339,5,0,2.5,0,7.0
340,5,0,2.5,1,8.71
341,6,0,3.0,0,7.33
342,6,0,3.0,0,9.0
343,6,0,3.0,1,8.67
344,6,0,3.0,0,10.5
345,7,0,3.5,1,10.11
346,7,0,3.5,0,12.25
347,7,0,3.5,1,11.67
348,7,0,3.5,1,14.0
349,7,0,3.5,0,14.88
350,7,0,3.5,1,18.0
351,7,0,3.5,0,16.62
352,7,0,3.5,1,17.5
353,7,0,3.5,0,18.38
354,7,0,3.5,1,22.0
355,7,0,3.5,0,23.0
356,7,0,3.5,0,21.0
357,7,0,3.5,0,21.88
358,7,0,3.5,1,22.75
359,7,0,3.5,0,23.62
360,7,0,3.5,0,24.5
361,6,0,3.0,0,20.0
362,5,1,2.0,0,16.12
363,4,1,1.5,0,12.38
364,3,1,1.0,0,10.43
365,2,1,0.5,0,7.0
366,1,1,0.0,0,3.38
367,0,1,0.5,0,0.86
368,0,1,0.5,0,1.0
369,0,2,1.0,1,1.5
370,0,2,1.0,0,1.83
371,0,2,1.0,1,1.86
372,0,3,1.5,0,2.29
373,0,3,1.5,1,2.71
374,0,3,1.5,0,3.14
375,0,3,1.5,1,4.17
376,0,5,2.5,0,4.14
377,0,4,2.0,1,4.12
378,0,4,2.0,1,5.29
379,0,4,2.0,0,5.86
380,0,5,2.5,1,6.57
381,0,5,2.5,0,7.29
382,0,5,2.5,1,8.0
383,0,5,2.5,1,8.71
384,0,5,2.5,0,8.25
385,0,5,2.5,0,10.14
386,0,5,2.5,1,9.5
387,0,5,2.5,0,11.57
388,0,5,2.5,0,10.75
389,0,5,2.5,0,13.0
390,0,5,2.5,1,13.71
391,0,5,2.5,1,14.43
392,0,5,2.5,0,17.67
393,0,5,2.5,1,18.5
394,0,5,2.5,0,19.33
395,0,5,2.5,1,24.2
396,0,5,2.5,0,21.0
397,0,5,2.5,1,21.83
398,0,5,2.5,0,22.67
399,0,5,2.5,1,23.5
400,0,5,2.5,1,29.2
401,0,5,2.5,0,25.17
402,0,5,2.5,0,26.0
403,0,5,2.5,0,26.83
404,0,5,2.5,0,27.67
405,0,5,2.5,0,28.5
406,0,4,2.0,1,21.83
407,0,3,1.5,0,16.0
408,0,2,1.0,0,10.33
409,1,1,0.0,0,6.2
410,1,0,0.5,0,0.4
411,1,0,0.5,0,0.5
412,1,0,0.5,1,0.8
413,1,0,0.5,0,1.0
414,2,0,1.0,1,1.4
415,2,0,1.0,0,1.8
416,2,0,1.0,1,1.83
417,2,0,1.0,0,2.17
418,2,0,1.0,1,2.5
419,3,0,1.5,0,3.0
420,3,0,1.5,1,3.5
421,3,0,1.5,0,4.0
422,3,0,1.5,1,3.86
423,4,0,2.0,0,5.17
424,4,0,2.0,1,5.0
425,4,0,2.0,0,6.5
426,4,0,2.0,1,5.38
427,4,0,2.0,0,6.71
428,5,0,2.5,1,6.5
429,5,0,2.5,1,8.14
430,5,0,2.5,0,7.75
431,6,0,3.0,1,8.38
432,6,0,3.0,0,8.11
433,6,0,3.0,0,9.88
434,6,0,3.0,1,9.44
435,7,0,3.5,1,11.5
436,7,0,3.5,0,11.0
437,7,0,3.5,1,13.25
438,7,0,3.5,0,14.12
439,7,0,3.5,0,17.14
440,7,0,3.5,1,18.14
441,7,0,3.5,1,16.75
442,7,0,3.5,0,17.62
443,7,0,3.5,1,18.5
444,7,0,3.5,0,22.14
445,7,0,3.5,0,23.14
446,7,0,3.5,0,21.12
447,7,0,3.5,0,22.0
448,7,0,3.5,1,22.88
449,7,0,3.5,0,23.75
450,7,0,3.5,0,24.62
451,6,0,3.0,0,20.12
452,5,0,2.5,0,16.0
453,4,1,1.5,0,12.38
454,3,1,1.0,0,10.29
455,2,1,0.5,0,6.86
456,1,1,0.0,0,3.25
457,0,1,0.5,0,0.71
458,0,1,0.5,0,0.86
459,0,1,0.5,0,1.17
460,0,2,1.0,1,1.5
461,0,2,1.0,1,1.57
462,0,2,1.0,0,1.86
463,0,3,1.5,1,2.67
464,0,3,1.5,0,2.71
465,0,3,1.5,1,3.67
466,0,4,2.0,0,3.57
467,0,4,2.0,1,4.14
468,0,4,2.0,0,4.71
469,0,4,2.0,1,5.29
470,0,4,2.0,0,5.86
471,0,5,2.5,1,6.57
