Step,Queue_West_East,Queue_North_South,Queue_SD,Throughput_Step,Avg_Waiting_Time
1,0,0,0.0,0,0.0
2,0,0,0.0,0,0.0
3,0,0,0.0,0,0.0
4,0,0,0.0,0,0.0
5,0,0,0.0,0,0.0
6,0,1,0.5,0,0.5
7,0,1,0.5,0,1.0
8,0,1,0.5,0,1.0
9,0,1,0.5,0,2.0
10,0,1,0.5,1,2.5
11,0,2,1.0,0,1.5
12,0,1,0.5,0,2.33
13,0,1,0.5,0,2.67
14,0,1,0.5,1,3.0
15,0,1,0.5,0,3.33
16,0,1,0.5,0,3.67
17,0,1,0.5,1,4.0
18,0,2,1.0,0,3.5
19,0,2,1.0,0,5.33
20,0,2,1.0,1,6.0
21,0,3,1.5,0,4.0
22,0,2,1.0,0,5.5
23,0,2,1.0,0,6.0
24,0,2,1.0,1,6.5
25,0,2,1.0,0,7.0
26,0,2,1.0,0,7.5
27,0,2,1.0,0,8.0
28,0,3,1.5,1,7.0
29,0,3,1.5,0,9.5
30,0,3,1.5,0,10.25
31,0,4,2.0,1,7.33
32,0,3,1.5,0,9.4
33,0,3,1.5,0,10.0
34,0,3,1.5,1,10.6
35,0,3,1.5,0,11.2
36,0,4,2.0,0,12.0
37,0,4,2.0,1,12.8
38,0,4,2.0,0,11.33
39,0,4,2.0,0,14.4
40,0,4,2.0,1,15.2
41,0,5,2.5,0,11.43
42,0,4,2.0,0,14.0
43,0,4,2.0,0,14.67
44,0,4,2.0,1,15.33
45,0,4,2.0,0,13.71
46,0,4,2.0,0,10.0
47,0,3,1.5,0,5.67
48,0,2,1.0,1,2.29
49,1,1,0.0,0,0.83
50,1,0,0.5,0,0.33
51,1,0,0.5,0,0.43
52,2,0,1.0,1,0.83
53,2,0,1.0,0,1.17
54,2,0,1.0,0,1.5
55,3,0,1.5,1,1.71
56,3,0,1.5,1,2.5
57,3,0,1.5,0,3.0
58,4,0,2.0,1,3.67
59,4,0,2.0,0,4.33
60,4,0,2.0,1,5.0
61,4,0,2.0,0,4.25
62,5,0,2.5,1,4.88
63,5,0,2.5,0,5.5
64,6,0,3.0,0,7.14
65,6,0,3.0,0,8.0
66,7,0,3.5,0,9.0
67,7,0,3.5,0,10.0
68,7,0,3.5,0,11.0
69,7,0,3.5,1,12.0
70,7,0,3.5,0,13.0
71,7,0,3.5,0,12.25
72,7,0,3.5,0,13.12
73,7,0,3.5,0,14.0
74,7,0,3.5,0,17.0
75,7,0,3.5,0,18.0
76,7,0,3.5,0,19.0
77,7,0,3.5,0,20.0
78,7,0,3.5,1,21.0
79,7,0,3.5,0,22.0
80,7,0,3.5,0,23.0
81,7,0,3.5,0,21.0
82,7,0,3.5,0,21.88
83,7,0,3.5,0,22.75
84,7,0,3.5,0,27.0
85,7,0,3.5,0,28.0
86,7,0,3.5,0,29.0
87,7,0,3.5,0,30.0
88,7,0,3.5,1,31.0
89,7,0,3.5,0,32.0
90,7,0,3.5,0,33.0
91,6,0,3.0,0,27.86
92,5,0,2.5,0,22.86
93,4,0,2.0,0,18.0
94,3,0,1.5,0,15.5
95,2,0,1.0,0,10.33
96,1,0,0.5,0,6.2
97,0,0,0.0,0,0.0
98,0,1,0.5,0,0.2
99,0,1,0.5,1,0.5
100,0,1,0.5,0,0.75
101,0,2,1.0,1,0.8
102,0,1,0.5,1,1.25
103,0,1,0.5,0,1.2
104,0,1,0.5,1,1.75
105,0,1,0.5,0,2.0
106,0,1,0.5,1,2.25
107,0,1,0.5,0,2.5
108,0,1,0.5,0,2.75
109,0,2,1.0,1,3.25
110,0,2,1.0,0,3.75
111,0,3,1.5,1,3.4
112,0,2,1.0,1,3.8
113,0,2,1.0,0,4.2
114,0,2,1.0,1,4.6
115,0,2,1.0,0,5.0
116,0,2,1.0,1,5.4
117,0,2,1.0,0,5.8
118,0,2,1.0,1,6.2
119,0,3,1.5,1,6.8
120,0,3,1.5,0,7.4
121,0,4,2.0,1,6.67
122,0,3,1.5,0,7.17
123,0,3,1.5,1,7.67
124,0,3,1.5,0,8.17
125,0,3,1.5,1,8.67
126,0,4,2.0,0,8.0
127,0,4,2.0,1,10.0
128,0,4,2.0,0,10.67
129,0,4,2.0,1,11.33
130,0,4,2.0,0,12.0
131,0,5,2.5,0,10.86
132,0,4,2.0,1,11.43
133,0,4,2.0,0,12.0
134,0,4,2.0,1,11.0
135,0,5,2.5,0,10.33
136,0,4,2.0,1,7.38
137,0,3,1.5,1,3.78
138,1,2,0.5,0,2.0
139,2,1,0.5,0,0.89
140,2,0,1.0,0,0.56
141,2,0,1.0,0,0.78
142,3,0,1.5,0,1.11
143,3,0,1.5,1,1.3
144,4,0,2.0,0,1.89
145,5,0,2.5,1,2.44
146,6,0,3.0,0,3.5
147,6,0,3.0,1,4.25
148,7,0,3.5,0,5.86
149,7,0,3.5,1,6.86
150,7,0,3.5,0,7.86
151,7,0,3.5,1,7.75
152,7,0,3.5,1,8.62
153,7,0,3.5,0,9.5
154,7,0,3.5,0,11.86
155,7,0,3.5,0,12.86
156,7,0,3.5,0,13.86
157,7,0,3.5,0,14.86
158,7,0,3.5,1,15.86
159,7,0,3.5,0,16.86
160,7,0,3.5,0,17.86
161,7,0,3.5,0,16.5
162,7,0,3.5,0,17.38
163,7,0,3.5,0,18.25
164,7,0,3.5,0,21.86
165,7,0,3.5,0,22.86
166,7,0,3.5,0,23.86
167,7,0,3.5,0,24.86
168,7,0,3.5,0,25.86
169,7,0,3.5,1,26.86
170,7,0,3.5,0,27.86
171,7,0,3.5,0,25.25
172,7,0,3.5,0,26.12
173,7,0,3.5,0,27.0
174,7,0,3.5,0,31.86
175,7,0,3.5,0,32.86
176,7,0,3.5,0,33.86
177,7,0,3.5,0,34.86
178,7,0,3.5,1,35.86
179,7,0,3.5,0,36.86
180,7,0,3.5,0,37.86
181,6,0,3.0,0,32.57
182,5,0,2.5,0,27.14
183,4,0,2.0,0,21.86
184,3,0,1.5,0,19.33
185,2,0,1.0,0,13.0
186,1,0,0.5,0,6.5
187,0,1,0.5,0,0.2
188,0,1,0.5,0,0.4
189,0,1,0.5,1,0.75
190,0,1,0.5,0,1.0
191,0,2,1.0,1,1.0
192,0,1,0.5,0,1.2
193,0,1,0.5,1,1.75
194,0,1,0.5,0,1.6
195,0,1,0.5,0,2.25
196,0,1,0.5,1,2.0
197,0,1,0.5,0,2.75
198,0,1,0.5,1,2.4
199,0,2,1.0,1,3.5
200,0,2,1.0,0,3.2
201,0,3,1.5,1,3.6
202,0,2,1.0,0,4.0
203,0,2,1.0,1,4.4
204,0,2,1.0,0,4.8
205,0,2,1.0,1,5.2
206,0,2,1.0,0,5.6
207,0,2,1.0,1,6.0
208,0,2,1.0,1,6.4
209,0,3,1.5,0,7.0
210,0,3,1.5,1,7.6
211,0,4,2.0,0,6.83
212,0,3,1.5,1,7.33
213,0,3,1.5,0,7.83
214,0,3,1.5,1,8.33
215,0,3,1.5,1,8.83
216,0,4,2.0,0,9.5
217,0,4,2.0,0,10.17
218,0,4,2.0,1,10.83
219,0,4,2.0,0,11.5
220,0,4,2.0,1,12.17
221,0,5,2.5,0,11.0
222,0,4,2.0,1,11.57
223,0,4,2.0,0,12.14
224,0,4,2.0,1,11.12
225,0,5,2.5,0,10.44
226,0,4,2.0,1,7.38
227,1,3,1.0,0,3.89
228,1,2,0.5,1,2.11
229,1,1,0.0,0,0.8
230,2,0,1.0,0,0.56
231,3,0,1.5,0,0.89
232,3,0,1.5,1,1.22
233,4,0,2.0,0,1.67
234,5,0,2.5,0,2.22
235,6,0,3.0,1,2.89
236,6,0,3.0,0,3.56
237,6,0,3.0,1,4.75
238,7,0,3.5,0,6.43
239,7,0,3.5,1,7.43
240,7,0,3.5,0,8.43
241,7,0,3.5,1,8.25
242,7,0,3.5,0,9.12
243,7,0,3.5,1,10.0
244,7,0,3.5,0,12.43
245,7,0,3.5,0,13.43
246,7,0,3.5,0,14.43
247,7,0,3.5,0,15.43
248,7,0,3.5,0,16.43
249,7,0,3.5,1,17.43
250,7,0,3.5,0,18.43
251,7,0,3.5,0,17.0
252,7,0,3.5,0,17.88
253,7,0,3.5,0,18.75
254,7,0,3.5,0,22.43
255,7,0,3.5,0,23.43
256,7,0,3.5,0,24.43
257,7,0,3.5,0,25.43
258,7,0,3.5,1,26.43
259,7,0,3.5,0,27.43
260,7,0,3.5,0,28.43
261,7,0,3.5,0,25.75
262,7,0,3.5,0,26.62
263,7,0,3.5,0,27.5
264,7,0,3.5,0,32.43
265,7,0,3.5,0,33.43
266,7,0,3.5,0,34.43
267,7,0,3.5,0,35.43
268,7,0,3.5,1,36.43
269,7,0,3.5,0,37.43
270,7,0,3.5,0,38.43
271,6,0,3.0,0,33.0
272,5,0,2.5,0,27.71
273,4,0,2.0,0,22.29
274,3,0,1.5,0,16.86
275,2,0,1.0,0,13.17
276,1,0,0.5,0,6.5
277,0,1,0.5,0,0.2
278,0,1,0.5,0,0.4
279,0,1,0.5,1,0.75
280,0,1,0.5,0,1.0
281,0,2,1.0,1,1.0
282,0,1,0.5,0,1.2
283,0,1,0.5,1,1.75
284,0,1,0.5,0,2.0
285,0,1,0.5,1,2.25
286,0,1,0.5,0,2.5
287,0,1,0.5,1,2.75
288,0,1,0.5,1,3.0
289,0,1,0.5,0,3.25
290,0,2,1.0,1,3.75
291,0,3,1.5,0,3.4
292,0,2,1.0,1,3.8
293,0,2,1.0,0,4.2
294,0,2,1.0,1,4.6
295,0,2,1.0,1,5.0
296,0,2,1.0,0,5.4
297,0,2,1.0,1,5.8
298,0,3,1.5,0,6.4
299,0,3,1.5,1,7.0
300,0,3,1.5,0,6.33
301,0,4,2.0,1,6.83
302,0,3,1.5,0,6.29
303,0,3,1.5,1,7.83
304,0,3,1.5,0,7.14
305,0,3,1.5,0,8.83
306,0,4,2.0,1,8.14
307,0,4,2.0,0,10.17
308,0,4,2.0,0,9.29
309,0,4,2.0,1,11.5
310,0,4,2.0,0,12.17
311,0,5,2.5,1,11.0
312,0,4,2.0,1,11.57
313,0,4,2.0,0,12.14
314,0,5,2.5,1,11.25
315,0,5,2.5,0,10.56
316,0,4,2.0,1,7.5
317,1,3,1.0,0,4.11
318,1,2,0.5,1,2.22
319,1,1,0.0,0,1.0
320,2,0,1.0,0,0.56
321,3,0,1.5,0,0.89
322,3,0,1.5,1,1.22
323,4,0,2.0,0,1.67
324,5,0,2.5,1,2.22
325,5,0,2.5,0,2.78
326,6,0,3.0,1,3.88
327,6,0,3.0,0,5.29
328,7,0,3.5,1,6.29
329,7,0,3.5,0,7.29
330,7,0,3.5,1,8.29
331,7,0,3.5,1,8.12
332,7,0,3.5,0,9.0
333,7,0,3.5,0,9.88
334,7,0,3.5,0,12.29
335,7,0,3.5,0,13.29
336,7,0,3.5,0,14.29
337,7,0,3.5,0,15.29
338,7,0,3.5,1,16.29
339,7,0,3.5,0,17.29
340,7,0,3.5,0,18.29
341,7,0,3.5,0,16.88
342,7,0,3.5,0,17.75
343,7,0,3.5,0,18.62
344,7,0,3.5,0,22.29
345,7,0,3.5,0,23.29
346,7,0,3.5,0,24.29
347,7,0,3.5,0,25.29
348,7,0,3.5,1,26.29
349,7,0,3.5,0,27.29
350,7,0,3.5,0,28.29
351,7,0,3.5,0,25.62
352,7,0,3.5,0,26.5
353,7,0,3.5,0,27.38
354,7,0,3.5,0,32.29
355,7,0,3.5,0,33.29
356,7,0,3.5,0,34.29
357,7,0,3.5,0,35.29
358,7,0,3.5,1,36.29
359,7,0,3.5,0,37.29
360,7,0,3.5,0,38.29
361,6,0,3.0,0,32.86
362,5,0,2.5,0,27.57
363,4,0,2.0,0,22.14
364,3,0,1.5,0,19.5
365,2,0,1.0,0,13.0
366,1,0,0.5,0,6.5
367,0,1,0.5,0,0.2
368,0,1,0.5,0,0.4
369,0,1,0.5,1,0.75
370,0,1,0.5,0,1.0
371,0,2,1.0,1,1.0
372,0,1,0.5,0,1.2
373,0,1,0.5,1,1.75
374,0,1,0.5,0,1.6
375,0,1,0.5,1,2.25
376,0,1,0.5,0,2.5
377,0,1,0.5,1,2.75
378,0,2,1.0,0,3.25
379,0,2,1.0,1,3.75
380,0,2,1.0,0,4.25
381,0,3,1.5,1,3.8
382,0,2,1.0,0,4.2
383,0,2,1.0,1,4.6
384,0,2,1.0,0,5.0
385,0,2,1.0,1,5.4
386,0,2,1.0,0,5.8
387,0,2,1.0,1,6.2
388,0,3,1.5,0,6.8
389,0,3,1.5,1,7.4
390,0,3,1.5,0,8.0
391,0,4,2.0,1,7.17
392,0,3,1.5,0,7.67
393,0,3,1.5,1,8.17
394,0,3,1.5,1,8.67
395,0,3,1.5,0,9.17
396,0,3,1.5,0,9.67
397,0,3,1.5,1,10.17
398,0,4,2.0,0,10.83
399,0,4,2.0,1,11.5
400,0,4,2.0,0,12.17
401,0,5,2.5,1,11.0
402,0,4,2.0,1,11.57
403,0,4,2.0,0,10.62
404,0,4,2.0,1,9.89
405,0,4,2.0,0,9.3
406,1,4,1.5,1,6.56
407,1,3,1.0,0,3.4
408,1,2,0.5,0,1.7
409,2,1,0.5,0,1.0
410,2,0,1.0,0,0.78
411,3,0,1.5,0,1.0
412,4,0,2.0,0,1.56
413,4,0,2.0,1,2.0
414,4,0,2.0,1,2.44
415,5,0,2.5,0,3.0
416,5,0,2.5,1,4.0
417,6,0,3.0,0,4.75
418,7,0,3.5,1,6.43
419,7,0,3.5,0,7.43
420,7,0,3.5,1,8.43
421,7,0,3.5,0,8.25
422,7,0,3.5,1,9.12
423,7,0,3.5,0,10.0
424,7,0,3.5,0,12.43
425,7,0,3.5,0,13.43
426,7,0,3.5,0,14.43
427,7,0,3.5,0,15.43
428,7,0,3.5,1,16.43
429,7,0,3.5,0,17.43
430,7,0,3.5,0,18.43
431,7,0,3.5,0,17.0
432,7,0,3.5,0,17.88
433,7,0,3.5,0,18.75
434,7,0,3.5,0,22.43
435,7,0,3.5,0,23.43
436,7,0,3.5,0,24.43
437,7,0,3.5,0,25.43
438,7,0,3.5,1,26.43
439,7,0,3.5,0,27.43
440,7,0,3.5,0,28.43
441,7,0,3.5,0,25.75
442,7,0,3.5,0,26.62
443,7,0,3.5,0,27.5
444,7,0,3.5,0,32.43
445,7,0,3.5,0,33.43
446,7,0,3.5,0,34.43
447,7,0,3.5,0,35.43
448,7,0,3.5,1,36.43
449,7,0,3.5,0,37.43
450,7,0,3.5,0,38.43
451,6,0,3.0,0,32.86
452,5,0,2.5,0,27.43
453,4,0,2.0,0,22.0
454,3,0,1.5,0,19.17
455,2,0,1.0,0,12.83
456,1,0,0.5,0,7.8
457,0,1,0.5,0,0.2
458,0,1,0.5,0,0.4
459,0,1,0.5,1,0.75
460,0,1,0.5,0,1.0
461,0,2,1.0,1,1.0
462,0,1,0.5,1,1.2
463,0,1,0.5,0,1.75
464,0,1,0.5,1,1.6
465,0,1,0.5,0,2.25
466,0,1,0.5,0,2.5
467,0,1,0.5,1,2.75
468,0,2,1.0,1,3.25
469,0,2,1.0,0,3.75
470,0,2,1.0,1,4.25
471,0,3,1.5,0,3.8
