Step,Queue_West_East,Queue_North_South,Queue_SD,Throughput_Step,Avg_Waiting_Time
1,0,0,0.0,0,0.0
2,0,0,0.0,0,0.0
3,0,0,0.0,0,0.0
4,0,0,0.0,0,0.0
5,0,0,0.0,0,0.0
6,0,1,0.5,0,1.0
7,0,1,0.5,0,2.0
8,0,1,0.5,0,1.5
9,0,1,0.5,0,2.0
10,0,1,0.5,1,2.5
11,0,1,0.5,0,3.0
12,0,1,0.5,0,7.0
13,0,1,0.5,0,8.0
14,0,1,0.5,0,9.0
15,0,1,0.5,0,5.0
16,0,1,0.5,0,5.5
17,0,1,0.5,1,6.0
18,0,1,0.5,0,6.5
19,0,1,0.5,0,14.0
20,0,1,0.5,0,15.0
21,0,2,1.0,0,5.33
22,0,1,0.5,0,5.67
23,0,1,0.5,0,6.0
24,0,1,0.5,1,6.33
25,0,1,0.5,0,10.0
26,0,1,0.5,0,10.5
27,0,2,1.0,0,11.5
28,0,2,1.0,0,8.33
29,0,2,1.0,0,9.0
30,0,2,1.0,1,9.67
31,0,2,1.0,0,10.33
32,0,2,1.0,0,16.5
33,0,2,1.0,0,17.5
34,0,2,1.0,0,18.5
35,0,2,1.0,0,13.0
36,0,2,1.0,0,13.67
37,0,2,1.0,1,14.33
38,0,2,1.0,0,15.0
39,0,2,1.0,0,23.5
40,0,2,1.0,0,24.5
41,0,3,1.5,0,12.75
42,0,2,1.0,0,13.25
43,0,2,1.0,0,13.75
44,0,2,1.0,0,14.25
45,0,2,1.0,1,14.75
46,0,1,0.5,0,6.67
47,0,0,0.0,0,0.0
48,0,0,0.0,0,0.0
49,1,0,0.5,0,0.33
50,1,0,0.5,0,0.67
51,1,0,0.5,0,1.0
52,1,0,0.5,1,2.0
53,1,0,0.5,0,2.5
54,1,0,0.5,0,3.0
55,1,0,0.5,1,2.33
56,1,0,0.5,0,2.67
57,2,0,1.0,1,3.33
58,2,0,1.0,0,4.0
59,2,0,1.0,0,4.67
60,2,0,1.0,0,5.33
61,2,0,1.0,0,3.6
62,2,0,1.0,0,4.0
63,3,0,1.5,0,4.6
64,3,0,1.5,0,6.5
65,3,0,1.5,0,7.25
66,3,0,1.5,0,8.0
67,3,0,1.5,0,8.75
68,5,0,2.5,1,7.8
69,4,0,2.0,0,8.6
70,4,0,2.0,0,9.4
71,4,0,2.0,0,10.2
72,4,0,2.0,0,11.0
73,4,0,2.0,0,11.8
74,5,0,2.5,0,12.8
75,6,0,3.0,0,11.5
76,5,0,2.5,0,12.33
77,5,0,2.5,0,13.17
78,5,0,2.5,0,14.0
79,5,0,2.5,0,14.83
80,5,0,2.5,0,15.67
81,7,0,3.5,0,12.5
82,6,0,3.0,0,13.25
83,6,0,3.0,0,14.0
84,6,0,3.0,0,16.86
85,6,0,3.0,0,17.71
86,7,0,3.5,0,18.71
87,7,0,3.5,0,19.71
88,7,0,3.5,1,20.71
89,7,0,3.5,0,21.71
90,7,0,3.5,0,22.71
91,6,0,3.0,0,20.5
92,5,0,2.5,0,15.5
93,4,0,2.0,0,11.17
94,3,0,1.5,0,8.8
95,2,0,1.0,0,5.0
96,1,0,0.5,0,2.2
97,0,0,0.0,0,0.0
98,0,0,0.0,0,0.0
99,0,0,0.0,1,0.0
100,0,0,0.0,0,0.0
101,0,0,0.0,1,0.0
102,0,0,0.0,0,0.0
103,0,0,0.0,1,0.0
104,0,0,0.0,0,0.0
105,0,0,0.0,1,0.0
106,0,0,0.0,0,0.0
107,0,0,0.0,1,0.0
108,0,1,0.5,0,0.25
109,0,1,0.5,1,0.67
110,0,1,0.5,0,1.0
111,0,1,0.5,1,2.0
112,0,1,0.5,0,5.0
113,0,1,0.5,1,6.0
114,0,1,0.5,0,7.0
115,0,1,0.5,1,4.0
116,0,1,0.5,1,4.5
117,0,1,0.5,0,5.0
118,0,1,0.5,1,5.5
119,0,1,0.5,0,12.0
120,0,1,0.5,0,13.0
121,0,2,1.0,0,4.67
122,0,1,0.5,0,5.0
123,0,1,0.5,0,5.33
124,0,1,0.5,0,5.67
125,0,1,0.5,1,6.0
126,0,1,0.5,0,9.5
127,0,1,0.5,0,10.0
128,0,1,0.5,0,7.0
129,0,2,1.0,0,7.67
130,0,2,1.0,0,8.33
131,0,2,1.0,0,9.0
132,0,2,1.0,1,14.5
133,0,2,1.0,0,15.5
134,0,2,1.0,0,16.5
135,0,2,1.0,0,11.67
136,0,1,0.5,0,4.0
137,0,0,0.0,0,0.0
138,0,0,0.0,1,0.0
139,0,0,0.0,0,0.0
140,0,0,0.0,0,0.0
141,0,0,0.0,0,0.0
142,0,0,0.0,1,0.0
143,1,0,0.5,0,0.33
144,1,0,0.5,1,1.0
145,1,0,0.5,0,1.5
146,1,0,0.5,0,2.0
147,1,0,0.5,0,2.5
148,1,0,0.5,1,2.0
149,1,0,0.5,0,2.33
150,2,0,1.0,0,3.0
151,2,0,1.0,0,3.67
152,2,0,1.0,0,4.33
153,2,0,1.0,0,5.0
154,2,0,1.0,0,5.67
155,4,0,2.0,0,5.0
156,3,0,1.5,0,5.75
157,3,0,1.5,0,6.5
158,3,0,1.5,0,7.25
159,3,0,1.5,0,8.0
160,3,0,1.5,0,8.75
161,3,0,1.5,0,6.33
162,3,0,1.5,0,6.83
163,4,0,2.0,0,7.5
164,4,0,2.0,0,9.8
165,4,0,2.0,0,10.6
166,4,0,2.0,0,11.4
167,4,0,2.0,0,12.2
168,6,0,3.0,1,11.0
169,5,0,2.5,0,11.83
170,5,0,2.5,0,12.67
171,5,0,2.5,0,13.5
172,5,0,2.5,0,14.33
173,6,0,3.0,0,15.33
174,6,0,3.0,0,16.33
175,7,0,3.5,0,14.86
176,6,0,3.0,0,15.71
177,6,0,3.0,0,16.57
178,7,0,3.5,0,17.57
179,7,0,3.5,0,18.57
180,7,0,3.5,0,19.57
181,6,0,3.0,0,15.0
182,5,0,2.5,0,11.14
183,4,0,2.0,0,7.71
184,3,0,1.5,0,5.14
185,2,0,1.0,0,3.5
186,1,1,0.0,0,1.67
187,0,1,0.5,0,0.4
188,0,1,0.5,0,0.6
189,0,1,0.5,1,1.0
190,0,1,0.5,0,1.25
191,0,1,0.5,1,1.5
192,0,1,0.5,0,2.33
193,0,1,0.5,1,2.67
194,0,1,0.5,0,3.0
195,0,1,0.5,1,3.33
196,0,1,0.5,1,3.67
197,0,1,0.5,0,4.0
198,0,1,0.5,1,6.5
199,0,1,0.5,0,7.0
200,0,1,0.5,1,15.0
201,0,2,1.0,0,5.33
202,0,1,0.5,1,5.67
203,0,1,0.5,1,6.0
204,0,1,0.5,0,6.33
205,0,1,0.5,0,10.0
206,0,1,0.5,1,10.5
207,0,1,0.5,0,11.0
208,0,2,1.0,0,8.0
209,0,2,1.0,0,8.67
210,0,2,1.0,1,9.33
211,0,2,1.0,0,10.0
212,0,2,1.0,0,16.0
213,0,2,1.0,0,17.0
214,0,2,1.0,0,18.0
215,0,2,1.0,0,12.67
216,0,2,1.0,0,13.33
217,0,2,1.0,1,14.0
218,0,2,1.0,0,14.67
219,0,2,1.0,0,23.0
220,0,2,1.0,0,24.0
221,0,3,1.5,0,12.5
222,0,2,1.0,0,13.0
223,0,2,1.0,0,13.5
224,0,2,1.0,1,14.0
225,0,2,1.0,0,14.5
226,0,1,0.5,0,6.33
227,0,0,0.0,0,0.0
228,2,0,1.0,0,0.25
229,1,0,0.5,0,0.67
230,1,0,0.5,0,1.0
231,1,0,0.5,0,1.33
232,1,0,0.5,1,2.5
233,1,0,0.5,0,3.0
234,1,0,0.5,1,3.5
235,1,0,0.5,0,2.67
236,1,0,0.5,1,3.0
237,1,0,0.5,0,3.33
238,1,0,0.5,0,3.67
239,2,0,1.0,0,4.33
240,2,0,1.0,0,5.0
241,2,0,1.0,0,3.4
242,2,0,1.0,0,3.8
243,2,0,1.0,0,4.2
244,3,0,1.5,0,6.0
245,3,0,1.5,0,6.75
246,3,0,1.5,0,7.5
247,3,0,1.5,0,8.25
248,4,0,2.0,0,7.2
249,4,0,2.0,1,8.0
250,4,0,2.0,0,8.8
251,4,0,2.0,0,9.6
252,4,0,2.0,0,10.4
253,4,0,2.0,0,11.2
254,5,0,2.5,0,12.2
255,6,0,3.0,0,11.0
256,5,0,2.5,0,11.83
257,5,0,2.5,0,12.67
258,5,0,2.5,0,13.5
259,5,0,2.5,0,14.33
260,6,0,3.0,0,15.33
261,7,0,3.5,0,12.25
262,6,0,3.0,0,13.0
263,6,0,3.0,0,13.75
264,6,0,3.0,0,16.57
265,7,0,3.5,0,17.57
266,7,0,3.5,0,18.57
267,7,0,3.5,0,19.57
268,7,0,3.5,1,20.57
269,7,0,3.5,0,21.57
270,7,0,3.5,0,22.57
271,6,0,3.0,0,20.17
272,5,0,2.5,0,15.5
273,4,0,2.0,0,11.33
274,3,0,1.5,0,9.2
275,2,0,1.0,0,5.4
276,1,0,0.5,0,2.4
277,0,0,0.0,0,0.0
278,0,0,0.0,0,0.0
279,0,0,0.0,1,0.0
280,0,0,0.0,0,0.0
281,0,0,0.0,1,0.0
282,0,0,0.0,0,0.0
283,0,0,0.0,1,0.0
284,0,0,0.0,0,0.0
285,0,0,0.0,1,0.0
286,0,0,0.0,0,0.0
287,0,0,0.0,1,0.0
288,0,1,0.5,0,0.33
289,0,1,0.5,1,0.67
290,0,1,0.5,0,1.5
291,0,1,0.5,1,2.0
292,0,1,0.5,1,5.0
293,0,1,0.5,0,6.0
294,0,1,0.5,1,7.0
295,0,1,0.5,0,4.0
296,0,1,0.5,1,4.5
297,0,1,0.5,0,5.0
298,0,1,0.5,1,5.5
299,0,1,0.5,0,12.0
300,0,1,0.5,0,13.0
301,0,2,1.0,0,4.67
302,0,1,0.5,0,5.0
303,0,1,0.5,0,5.33
304,0,1,0.5,0,5.67
305,0,1,0.5,1,9.0
306,0,1,0.5,0,9.5
307,0,1,0.5,0,10.0
308,0,1,0.5,0,7.0
309,0,2,1.0,0,7.67
310,0,2,1.0,1,8.33
311,0,2,1.0,0,9.0
312,0,2,1.0,0,14.5
313,0,2,1.0,0,15.5
314,0,2,1.0,0,16.5
315,0,2,1.0,0,11.67
316,0,1,0.5,0,4.0
317,0,0,0.0,1,0.0
318,0,0,0.0,0,0.0
319,0,0,0.0,0,0.0
320,0,0,0.0,0,0.0
321,0,0,0.0,0,0.0
322,1,0,0.5,0,0.33
323,1,0,0.5,1,0.67
324,1,0,0.5,0,1.5
325,1,0,0.5,1,2.0
326,1,0,0.5,0,2.5
327,1,0,0.5,0,3.0
328,1,0,0.5,0,2.33
329,2,0,1.0,1,3.0
330,2,0,1.0,0,3.67
331,2,0,1.0,0,4.33
332,2,0,1.0,0,5.0
333,2,0,1.0,0,5.67
334,2,0,1.0,0,6.33
335,2,0,1.0,0,5.25
336,3,0,1.5,0,6.0
337,3,0,1.5,0,6.75
338,3,0,1.5,0,7.5
339,3,0,1.5,0,8.25
340,3,0,1.5,0,9.0
341,4,0,2.0,0,6.5
342,3,0,1.5,0,7.0
343,4,0,2.0,0,7.67
344,4,0,2.0,0,10.0
345,4,0,2.0,0,10.8
346,4,0,2.0,0,11.6
347,5,0,2.5,0,12.6
348,6,0,3.0,1,11.33
349,5,0,2.5,0,12.17
350,5,0,2.5,0,13.0
351,5,0,2.5,0,13.83
352,5,0,2.5,0,14.67
353,5,0,2.5,0,15.5
354,6,0,3.0,0,16.5
355,7,0,3.5,0,15.0
356,6,0,3.0,0,15.86
357,7,0,3.5,0,16.86
358,7,0,3.5,0,17.86
359,7,0,3.5,0,18.86
360,7,0,3.5,0,19.86
361,6,0,3.0,0,15.14
362,5,0,2.5,0,11.14
363,4,0,2.0,0,7.86
364,3,0,1.5,0,6.17
365,2,0,1.0,0,3.5
366,1,0,0.5,0,1.67
367,0,1,0.5,0,0.2
368,0,1,0.5,0,0.4
369,0,1,0.5,1,0.75
370,0,1,0.5,0,1.0
371,0,1,0.5,1,1.25
372,0,1,0.5,0,1.5
373,0,1,0.5,1,1.75
374,0,1,0.5,0,2.0
375,0,1,0.5,1,3.0
376,0,1,0.5,0,3.33
377,0,1,0.5,1,3.67
378,0,1,0.5,0,6.0
379,0,1,0.5,1,6.5
380,0,1,0.5,1,14.0
381,0,2,1.0,0,5.0
382,0,1,0.5,1,5.33
383,0,1,0.5,0,5.67
384,0,1,0.5,1,6.0
385,0,1,0.5,0,9.5
386,0,1,0.5,1,10.0
387,0,1,0.5,0,10.5
388,0,1,0.5,0,7.33
389,0,2,1.0,0,8.0
390,0,2,1.0,1,8.67
391,0,2,1.0,0,9.33
392,0,2,1.0,0,15.0
393,0,2,1.0,0,16.0
394,0,2,1.0,0,17.0
395,0,2,1.0,0,12.0
396,0,2,1.0,0,12.67
397,0,2,1.0,1,13.33
398,0,2,1.0,0,14.0
399,0,2,1.0,0,22.0
400,0,2,1.0,0,23.0
401,0,3,1.5,0,12.0
402,0,2,1.0,0,12.5
403,0,2,1.0,0,13.0
404,0,2,1.0,1,13.5
405,0,2,1.0,0,14.0
406,0,1,0.5,0,6.0
407,0,1,0.5,0,0.33
408,0,0,0.0,0,0.0
409,1,0,0.5,0,0.25
410,1,0,0.5,0,0.67
411,1,0,0.5,0,1.0
412,1,0,0.5,0,2.0
413,1,0,0.5,1,2.5
414,1,0,0.5,0,3.0
415,1,0,0.5,1,2.33
416,1,0,0.5,0,2.67
417,1,0,0.5,1,3.0
418,2,0,1.0,0,3.67
419,2,0,1.0,0,4.33
420,2,0,1.0,0,5.0
421,2,0,1.0,0,3.4
422,3,0,1.5,0,4.0
423,3,0,1.5,0,4.6
424,3,0,1.5,0,6.5
425,3,0,1.5,0,7.25
426,3,0,1.5,0,8.0
427,3,0,1.5,0,8.75
428,3,0,1.5,1,7.6
429,4,0,2.0,0,8.4
430,4,0,2.0,0,9.2
431,4,0,2.0,0,10.0
432,4,0,2.0,0,10.8
433,4,0,2.0,0,11.6
434,4,0,2.0,0,12.4
435,6,0,3.0,0,11.17
436,5,0,2.5,0,12.0
437,5,0,2.5,0,12.83
438,5,0,2.5,0,13.67
439,5,0,2.5,0,14.5
440,5,0,2.5,0,15.33
441,7,0,3.5,0,12.25
442,6,0,3.0,0,13.0
443,6,0,3.0,0,13.75
444,6,0,3.0,0,16.57
445,6,0,3.0,0,17.43
446,7,0,3.5,0,18.43
447,7,0,3.5,0,19.43
448,7,0,3.5,1,20.43
449,7,0,3.5,0,21.43
450,7,0,3.5,0,22.43
451,6,0,3.0,0,20.17
452,5,0,2.5,0,15.33
453,4,0,2.0,0,10.83
454,3,0,1.5,0,8.6
455,2,0,1.0,0,5.0
456,1,0,0.5,0,2.2
457,0,0,0.0,0,0.0
458,0,0,0.0,0,0.0
459,0,0,0.0,1,0.0
460,0,0,0.0,0,0.0
461,0,0,0.0,1,0.0
462,0,0,0.0,0,0.0
463,0,0,0.0,1,0.0
464,0,0,0.0,0,0.0
465,0,0,0.0,1,0.0
466,0,0,0.0,1,0.0
467,0,0,0.0,0,0.0
468,0,1,0.5,1,0.33
469,0,1,0.5,0,0.67
470,0,1,0.5,1,1.0
471,0,1,0.5,0,2.0
