Step,Queue_West_East,Queue_North_South,Queue_SD,Throughput_Step,Avg_Waiting_Time
1,0,0,0.0,0,0.0
2,0,0,0.0,0,0.0
3,0,0,0.0,0,0.0
4,0,0,0.0,0,0.0
5,0,0,0.0,0,0.0
6,0,1,0.5,0,0.33
7,0,1,0.5,0,0.67
8,0,1,0.5,0,0.6
9,0,1,0.5,0,1.0
10,0,1,0.5,1,1.25
11,0,1,0.5,0,1.0
12,0,2,1.0,0,1.6
13,0,3,1.5,0,2.2
14,0,3,1.5,1,2.8
15,0,3,1.5,0,2.83
16,0,4,2.0,0,3.5
17,0,4,2.0,1,4.17
18,0,4,2.0,0,4.14
19,0,5,2.5,0,5.67
20,0,5,2.5,1,6.5
21,0,5,2.5,0,6.29
22,0,5,2.5,0,8.17
23,0,5,2.5,0,9.0
24,0,5,2.5,0,9.83
25,0,5,2.5,1,10.67
26,0,5,2.5,0,11.5
27,0,5,2.5,1,12.33
28,0,5,2.5,0,11.29
29,0,5,2.5,0,14.0
30,0,5,2.5,1,14.83
31,0,5,2.5,0,13.43
32,0,5,2.5,0,14.14
33,0,5,2.5,0,17.33
34,0,5,2.5,1,18.17
35,0,5,2.5,0,19.0
36,0,5,2.5,0,19.83
37,0,5,2.5,0,20.67
38,0,5,2.5,0,18.43
39,0,5,2.5,1,22.33
40,0,5,2.5,0,23.17
41,0,5,2.5,1,20.57
42,0,5,2.5,0,24.83
43,0,5,2.5,0,25.67
44,0,5,2.5,1,26.5
45,0,5,2.5,0,23.43
46,0,4,2.0,0,21.33
47,0,3,1.5,1,16.0
48,0,2,1.0,0,9.0
49,1,1,0.0,0,5.33
50,1,0,0.5,0,0.33
51,1,0,0.5,0,0.43
52,2,0,1.0,1,0.83
53,2,0,1.0,0,1.17
54,2,0,1.0,1,1.5
55,2,0,1.0,0,1.57
56,3,0,1.5,0,2.0
57,3,0,1.5,1,2.43
58,4,0,2.0,0,2.62
59,4,0,2.0,1,3.12
60,4,0,2.0,0,3.62
61,4,0,2.0,1,3.67
62,5,0,2.5,1,4.22
63,5,0,2.5,0,5.38
64,6,0,3.0,1,5.44
65,7,0,3.5,0,7.0
66,7,0,3.5,1,7.0
67,7,0,3.5,0,8.75
68,7,0,3.5,1,8.56
69,7,0,3.5,1,10.5
70,7,0,3.5,0,10.11
71,7,0,3.5,1,12.25
72,7,0,3.5,0,11.67
73,7,0,3.5,0,14.0
74,7,0,3.5,1,13.22
75,7,0,3.5,0,15.75
76,7,0,3.5,1,14.78
77,7,0,3.5,0,17.5
78,7,0,3.5,1,16.33
79,7,0,3.5,0,19.25
80,7,0,3.5,1,17.89
81,7,0,3.5,1,21.0
82,7,0,3.5,0,19.44
83,7,0,3.5,1,22.75
84,7,0,3.5,0,21.0
85,7,0,3.5,1,24.5
86,7,0,3.5,0,22.56
87,7,0,3.5,1,26.25
88,7,0,3.5,0,24.11
89,7,0,3.5,0,22.4
90,7,0,3.5,1,23.1
91,6,0,3.0,0,19.5
92,5,1,2.0,1,16.1
93,4,2,1.0,0,13.0
94,3,2,0.5,0,9.9
95,2,2,0.0,0,7.0
96,1,3,1.0,0,4.2
97,0,5,2.5,0,1.67
98,0,5,2.5,0,2.22
99,0,5,2.5,1,3.12
100,0,5,2.5,0,3.75
101,0,5,2.5,1,4.38
102,0,5,2.5,0,5.0
103,0,5,2.5,1,6.43
104,0,5,2.5,0,6.25
105,0,5,2.5,1,7.86
106,0,5,2.5,1,8.57
107,0,5,2.5,0,9.29
108,0,5,2.5,1,10.0
109,0,5,2.5,0,10.71
110,0,5,2.5,1,11.43
111,0,5,2.5,0,12.14
112,0,5,2.5,1,12.86
113,0,5,2.5,0,13.57
114,0,5,2.5,1,14.29
115,0,5,2.5,1,15.0
116,0,5,2.5,0,13.75
117,0,5,2.5,1,16.43
118,0,5,2.5,0,15.0
119,0,5,2.5,1,17.86
120,0,5,2.5,0,18.57
121,0,5,2.5,0,19.29
122,0,5,2.5,0,20.0
123,0,5,2.5,1,20.71
124,0,5,2.5,0,21.43
125,0,5,2.5,1,22.14
126,0,5,2.5,1,22.86
127,0,5,2.5,0,23.57
128,0,5,2.5,1,24.29
129,0,5,2.5,0,25.0
130,0,5,2.5,1,25.71
131,0,5,2.5,0,26.43
132,0,5,2.5,1,27.14
133,0,5,2.5,0,27.86
134,0,5,2.5,1,25.0
135,0,5,2.5,1,22.78
136,0,4,2.0,0,20.62
137,1,3,1.0,0,13.89
138,1,2,0.5,1,9.56
139,1,1,0.0,0,5.11
140,2,0,1.0,0,0.56
141,2,0,1.0,0,0.78
142,3,0,1.5,1,1.11
143,4,0,2.0,0,1.56
144,5,0,2.5,1,2.11
145,5,0,2.5,0,2.67
146,6,0,3.0,1,3.33
147,7,0,3.5,0,4.11
148,7,0,3.5,0,4.89
149,7,0,3.5,1,5.67
150,7,0,3.5,1,6.44
151,7,0,3.5,0,8.12
152,7,0,3.5,1,8.0
153,7,0,3.5,0,9.88
154,7,0,3.5,1,9.56
155,7,0,3.5,1,11.62
156,7,0,3.5,0,11.11
157,7,0,3.5,1,13.38
158,7,0,3.5,0,12.67
159,7,0,3.5,1,15.12
160,7,0,3.5,0,14.22
161,7,0,3.5,1,16.88
162,7,0,3.5,0,15.78
163,7,0,3.5,0,18.62
164,7,0,3.5,1,17.33
165,7,0,3.5,0,20.38
166,7,0,3.5,1,18.89
167,7,0,3.5,1,22.12
168,7,0,3.5,0,20.44
169,7,0,3.5,1,23.88
170,7,0,3.5,0,22.0
171,7,0,3.5,1,25.62
172,7,0,3.5,0,23.56
173,7,0,3.5,1,27.38
174,7,0,3.5,0,25.11
175,7,0,3.5,1,29.12
176,7,0,3.5,0,26.67
177,7,0,3.5,1,30.88
178,7,0,3.5,0,28.22
179,7,0,3.5,1,29.0
180,7,0,3.5,0,26.8
181,6,0,3.0,1,25.56
182,5,1,2.0,0,19.4
183,4,1,1.5,0,15.8
184,3,1,1.0,0,12.1
185,2,2,0.0,0,8.4
186,1,2,0.5,0,4.7
187,0,3,1.5,0,1.11
188,0,4,2.0,0,1.56
189,0,5,2.5,1,2.38
190,0,5,2.5,1,3.0
191,0,5,2.5,0,3.62
192,0,5,2.5,0,4.25
193,0,5,2.5,1,5.57
194,0,5,2.5,0,5.5
195,0,5,2.5,1,7.0
196,0,5,2.5,0,6.75
197,0,5,2.5,1,8.43
198,0,5,2.5,0,9.14
199,0,5,2.5,1,9.86
200,0,5,2.5,1,10.57
201,0,5,2.5,0,11.29
202,0,5,2.5,1,12.0
203,0,5,2.5,0,12.71
204,0,5,2.5,1,13.43
205,0,5,2.5,0,14.14
206,0,5,2.5,1,14.86
207,0,5,2.5,1,15.57
208,0,5,2.5,0,14.25
209,0,5,2.5,1,17.0
210,0,5,2.5,0,15.5
211,0,5,2.5,1,18.43
212,0,5,2.5,0,19.14
213,0,5,2.5,0,19.86
214,0,5,2.5,0,20.57
215,0,5,2.5,1,21.29
216,0,5,2.5,0,22.0
217,0,5,2.5,1,22.71
218,0,5,2.5,1,23.43
219,0,5,2.5,0,24.14
220,0,5,2.5,1,24.86
221,0,5,2.5,0,25.57
222,0,5,2.5,1,26.29
223,0,5,2.5,0,27.0
224,0,5,2.5,1,24.25
225,0,5,2.5,0,22.11
226,0,4,2.0,0,19.88
227,1,3,1.0,1,13.44
228,1,2,0.5,1,9.22
229,1,1,0.0,0,4.89
230,3,0,1.5,0,0.67
231,3,0,1.5,0,0.9
232,4,0,2.0,0,1.44
233,4,0,2.0,1,1.89
234,5,0,2.5,1,2.44
235,6,0,3.0,0,3.11
236,7,0,3.5,1,3.89
237,7,0,3.5,0,4.67
238,7,0,3.5,0,5.44
239,7,0,3.5,1,6.22
240,7,0,3.5,1,7.0
241,7,0,3.5,0,7.78
242,7,0,3.5,1,8.56
243,7,0,3.5,0,10.5
244,7,0,3.5,1,10.11
245,7,0,3.5,0,12.25
246,7,0,3.5,1,11.67
247,7,0,3.5,0,14.0
248,7,0,3.5,1,13.22
249,7,0,3.5,1,15.75
250,7,0,3.5,0,14.78
251,7,0,3.5,1,17.5
252,7,0,3.5,0,16.33
253,7,0,3.5,1,19.25
254,7,0,3.5,0,17.89
255,7,0,3.5,1,21.0
256,7,0,3.5,0,19.44
257,7,0,3.5,0,22.75
258,7,0,3.5,1,21.0
259,7,0,3.5,0,24.5
260,7,0,3.5,1,22.56
261,7,0,3.5,1,26.25
262,7,0,3.5,0,24.11
263,7,0,3.5,1,28.0
264,7,0,3.5,0,25.67
265,7,0,3.5,1,29.75
266,7,0,3.5,0,27.22
267,7,0,3.5,1,31.5
268,7,0,3.5,0,28.78
269,7,0,3.5,1,26.6
270,7,0,3.5,0,27.3
271,6,0,3.0,1,23.5
272,5,1,2.0,0,19.9
273,4,1,1.5,0,16.1
274,3,2,0.5,0,11.27
275,2,2,0.0,0,8.7
276,1,2,0.5,0,4.9
277,0,3,1.5,0,1.22
278,0,3,1.5,0,1.56
279,0,4,2.0,1,2.25
280,0,5,2.5,0,2.88
281,0,5,2.5,1,3.5
282,0,5,2.5,0,4.12
283,0,5,2.5,1,4.75
284,0,5,2.5,0,5.38
285,0,5,2.5,1,6.0
286,0,5,2.5,1,7.57
287,0,5,2.5,0,8.29
288,0,5,2.5,1,9.0
289,0,5,2.5,0,9.71
290,0,5,2.5,1,10.43
291,0,5,2.5,0,11.14
292,0,5,2.5,1,11.86
293,0,5,2.5,0,12.57
294,0,5,2.5,1,13.29
295,0,5,2.5,1,14.0
296,0,5,2.5,0,14.71
297,0,5,2.5,1,15.43
298,0,5,2.5,0,16.14
299,0,5,2.5,1,16.86
300,0,5,2.5,0,17.57
301,0,5,2.5,0,18.29
302,0,5,2.5,1,19.0
303,0,5,2.5,1,19.71
304,0,5,2.5,0,20.43
305,0,5,2.5,1,21.14
306,0,5,2.5,0,21.86
307,0,5,2.5,1,22.57
308,0,5,2.5,0,20.38
309,0,5,2.5,1,24.0
310,0,5,2.5,0,21.62
311,0,5,2.5,0,25.43
312,0,5,2.5,1,22.88
313,0,5,2.5,0,26.86
314,0,5,2.5,0,24.12
315,0,5,2.5,0,24.75
316,0,4,2.0,0,19.75
317,0,3,1.5,1,14.75
318,1,2,0.5,1,8.89
319,2,1,0.5,0,5.38
320,2,0,1.0,1,0.56
321,3,0,1.5,0,1.0
322,3,0,1.5,0,1.38
323,4,0,2.0,1,1.5
324,4,0,2.0,0,2.11
325,5,0,2.5,1,2.67
326,6,0,3.0,1,3.33
327,7,0,3.5,0,4.62
328,7,0,3.5,1,4.89
329,7,0,3.5,0,6.38
330,7,0,3.5,1,6.44
331,7,0,3.5,0,8.12
332,7,0,3.5,1,8.0
333,7,0,3.5,0,9.88
334,7,0,3.5,1,9.56
335,7,0,3.5,1,11.62
336,7,0,3.5,0,11.11
337,7,0,3.5,1,13.38
338,7,0,3.5,0,12.67
339,7,0,3.5,1,15.12
340,7,0,3.5,0,14.22
341,7,0,3.5,1,16.88
342,7,0,3.5,0,15.78
343,7,0,3.5,1,18.62
344,7,0,3.5,0,17.33
345,7,0,3.5,1,20.38
346,7,0,3.5,0,18.89
347,7,0,3.5,1,22.12
348,7,0,3.5,0,20.44
349,7,0,3.5,1,23.88
350,7,0,3.5,0,22.0
351,7,0,3.5,1,25.62
352,7,0,3.5,0,23.56
353,7,0,3.5,1,27.38
354,7,0,3.5,0,25.11
355,7,0,3.5,1,29.12
356,7,0,3.5,0,26.67
357,7,0,3.5,1,30.88
358,7,0,3.5,0,28.22
359,7,0,3.5,0,26.1
360,7,0,3.5,1,26.8
361,6,0,3.0,1,23.1
362,5,0,2.5,0,19.3
363,4,1,1.5,0,15.6
364,3,2,0.5,0,12.0
365,2,2,0.0,0,8.4
366,1,3,1.0,0,5.33
367,0,4,2.0,0,1.33
368,0,4,2.0,0,2.0
369,0,5,2.5,1,2.62
370,0,5,2.5,0,3.25
371,0,5,2.5,1,3.88
372,0,5,2.5,1,5.14
373,0,5,2.5,0,5.86
374,0,5,2.5,1,6.57
375,0,5,2.5,0,7.29
376,0,5,2.5,1,8.0
377,0,5,2.5,0,8.71
378,0,5,2.5,0,9.43
379,0,5,2.5,1,10.14
380,0,5,2.5,1,10.86
381,0,5,2.5,0,11.57
382,0,5,2.5,1,12.29
383,0,5,2.5,0,13.0
384,0,5,2.5,1,12.0
385,0,5,2.5,0,14.43
386,0,5,2.5,1,15.14
387,0,5,2.5,1,15.86
388,0,5,2.5,0,16.57
389,0,5,2.5,0,17.29
390,0,5,2.5,1,18.0
391,0,5,2.5,0,18.71
392,0,5,2.5,1,19.43
393,0,5,2.5,0,20.14
394,0,5,2.5,1,20.86
395,0,5,2.5,1,21.57
396,0,5,2.5,0,22.29
397,0,5,2.5,1,23.0
398,0,5,2.5,0,23.71
399,0,5,2.5,1,24.43
400,0,5,2.5,0,25.14
401,0,5,2.5,0,25.86
402,0,5,2.5,1,23.25
403,0,5,2.5,0,27.29
404,0,5,2.5,1,24.5
405,0,5,2.5,0,22.33
406,0,4,2.0,1,20.25
407,1,3,1.0,0,13.67
408,2,2,0.0,1,9.44
409,2,1,0.5,0,5.11
410,2,0,1.0,0,0.78
411,3,0,1.5,0,1.11
412,3,0,1.5,0,1.44
413,4,0,2.0,1,1.7
414,4,0,2.0,1,2.33
415,6,0,3.0,0,3.0
416,6,0,3.0,0,3.67
417,7,0,3.5,1,4.44
418,7,0,3.5,1,5.22
419,7,0,3.5,0,6.0
420,7,0,3.5,1,6.78
421,7,0,3.5,0,8.5
422,7,0,3.5,1,8.33
423,7,0,3.5,0,10.25
424,7,0,3.5,1,9.89
425,7,0,3.5,1,12.0
426,7,0,3.5,0,11.44
427,7,0,3.5,0,13.75
428,7,0,3.5,1,13.0
429,7,0,3.5,0,15.5
430,7,0,3.5,1,14.56
431,7,0,3.5,0,17.25
432,7,0,3.5,1,16.11
433,7,0,3.5,0,19.0
434,7,0,3.5,1,17.67
435,7,0,3.5,1,20.75
436,7,0,3.5,0,19.22
437,7,0,3.5,0,22.5
438,7,0,3.5,1,20.78
439,7,0,3.5,0,24.25
440,7,0,3.5,1,22.33
441,7,0,3.5,0,26.0
442,7,0,3.5,1,23.89
443,7,0,3.5,0,27.75
444,7,0,3.5,1,25.44
445,7,0,3.5,0,29.5
446,7,0,3.5,1,27.0
447,7,0,3.5,1,31.25
448,7,0,3.5,0,28.56
449,7,0,3.5,1,29.33
450,7,0,3.5,0,27.1
451,6,0,3.0,1,25.89
452,5,0,2.5,0,19.4
453,4,1,1.5,0,15.7
454,3,1,1.0,0,12.0
455,2,2,0.0,0,8.4
456,1,2,0.5,0,5.11
457,0,3,1.5,0,1.0
458,0,4,2.0,0,1.62
459,0,5,2.5,1,2.25
460,0,5,2.5,1,3.29
461,0,5,2.5,0,3.5
462,0,5,2.5,1,4.71
463,0,5,2.5,0,4.75
464,0,5,2.5,1,6.14
465,0,5,2.5,0,6.0
466,0,5,2.5,1,7.57
467,0,5,2.5,0,7.25
468,0,5,2.5,1,9.0
469,0,5,2.5,1,9.71
470,0,5,2.5,0,10.43
471,0,5,2.5,1,11.14
