Scenario,Policy,Throughput,AvgWait,AvgQueue,Starvations
s1_low_200.rou.xml,RL_Agent,135,6.08,0.94,0
s1_low_200.rou.xml,Fixed_10s,136,6.85,1.25,0
s1_low_200.rou.xml,Fixed_20s,179,23.0,2.09,0
s1_low_200.rou.xml,Fixed_30s,191,44.5,2.94,1
s1_low_200.rou.xml,Fixed_45s,195,101.86,4.14,10
s2_medium_600.rou.xml,RL_Agent,470,31.92,3.91,0
s2_medium_600.rou.xml,Fixed_10s,384,17.26,3.16,0
s2_medium_600.rou.xml,Fixed_20s,520,53.15,4.22,2
s2_medium_600.rou.xml,Fixed_30s,548,95.8,4.49,31
s2_medium_600.rou.xml,Fixed_45s,561,172.93,4.65,30
s3_heavy_asym_1200.rou.xml,RL_Agent,940,36.45,4.19,0
s3_heavy_asym_1200.rou.xml,Fixed_10s,746,18.67,3.51,0
s3_heavy_asym_1200.rou.xml,Fixed_20s,1023,58.07,4.29,6
s3_heavy_asym_1200.rou.xml,Fixed_30s,1087,99.8,4.26,78
s3_heavy_asym_1200.rou.xml,Fixed_45s,1119,176.34,4.28,57
s4_heavy_sym_1200.rou.xml,RL_Agent,876,31.05,3.71,0
s4_heavy_sym_1200.rou.xml,Fixed_10s,742,28.7,5.2,0
s4_heavy_sym_1200.rou.xml,Fixed_20s,1014,82.64,5.91,5
s4_heavy_sym_1200.rou.xml,Fixed_30s,1095,139.75,5.86,78
s4_heavy_sym_1200.rou.xml,Fixed_45s,1125,245.62,5.91,57
s5_peak_1800.rou.xml,RL_Agent,1364,48.67,5.02,0
s5_peak_1800.rou.xml,Fixed_10s,1106,21.75,3.98,0
s5_peak_1800.rou.xml,Fixed_20s,1540,64.69,4.72,6
s5_peak_1800.rou.xml,Fixed_30s,1630,111.33,4.71,118
s5_peak_1800.rou.xml,Fixed_45s,1678,197.16,4.77,86
