Volume_Tier,Strategy,Mean_Wait,Max_WE_Queue,WE_Queue_SD
200,Fixed 10s,3.44,7,2.4
400,Fixed 10s,3.44,7,2.4
800,Fixed 10s,3.44,7,2.4
1200,Fixed 10s,3.33,7,2.39
200,Fixed 20s,5.64,7,2.92
400,Fixed 20s,5.64,7,2.92
800,Fixed 20s,5.64,7,2.92
1200,Fixed 20s,6.2,7,2.93
200,Fixed 30s,8.67,7,3.12
400,Fixed 30s,8.67,7,3.12
800,Fixed 30s,8.67,7,3.12
1200,Fixed 30s,9.46,7,3.13
200,Fixed 45s,13.64,7,3.25
400,Fixed 45s,13.64,7,3.25
800,Fixed 45s,13.64,7,3.25
1200,Fixed 45s,14.41,7,3.23
200,Adaptive RL Agent,11.2,7,2.26
400,Adaptive RL Agent,12.8,7,1.87
800,Adaptive RL Agent,14.1,7,1.54
1200,Adaptive RL Agent,13.9,7,1.05
