Episode,Scenario,Avg_Reward,Avg_Wait,Avg_Queue,Throughput,Epsilon,Steps
1,s1_low_200.rou.xml,0.4233,132.21,5.86,0.1955,1.0000,1023
2,s1_low_200.rou.xml,0.5614,67.28,4.28,0.1972,0.9500,1014
3,s1_low_200.rou.xml,0.6171,44.00,3.39,0.1970,0.9025,1015
4,s1_low_200.rou.xml,0.4854,103.93,5.07,0.1936,0.8574,1033
5,s1_low_200.rou.xml,0.5197,88.11,4.72,0.1984,0.8145,1008
6,s1_low_200.rou.xml,0.5384,80.41,4.29,0.1949,0.7738,1026
7,s1_low_200.rou.xml,0.5860,56.76,3.76,0.1955,0.7351,1023
8,s1_low_200.rou.xml,0.6129,46.95,3.32,0.1986,0.6983,1007
9,s1_low_200.rou.xml,0.6103,45.69,3.50,0.1970,0.6634,1015
10,s1_low_200.rou.xml,0.5269,80.50,4.94,0.1978,0.6302,1011
11,s1_low_200.rou.xml,0.5490,75.06,4.31,0.1963,0.5987,1019
12,s1_low_200.rou.xml,0.5983,50.52,3.67,0.1944,0.5688,1029
13,s1_low_200.rou.xml,0.4352,124.62,5.92,0.1965,0.5404,1018
14,s1_low_200.rou.xml,0.5394,75.65,4.65,0.1972,0.5133,1014
15,s1_low_200.rou.xml,0.5090,92.36,4.86,0.1978,0.4877,1011
16,s1_low_200.rou.xml,0.5134,88.41,4.82,0.1894,0.4633,1056
17,s1_low_200.rou.xml,0.6063,55.35,3.18,0.1970,0.4401,1015
18,s1_low_200.rou.xml,0.6031,54.71,3.29,0.1986,0.4181,1007
19,s1_low_200.rou.xml,0.4353,130.33,5.40,0.1878,0.3972,1065
20,s1_low_200.rou.xml,0.5495,79.69,3.81,0.1974,0.3774,1013
21,s2_medium_600.rou.xml,0.3039,214.86,7.07,0.2908,0.3585,2063
22,s2_medium_600.rou.xml,0.2568,246.64,6.84,0.2914,0.3406,2059
23,s2_medium_600.rou.xml,0.2970,218.00,6.89,0.2917,0.3235,2057
24,s2_medium_600.rou.xml,0.3377,197.35,6.96,0.3143,0.3074,1909
25,s2_medium_600.rou.xml,0.2651,234.48,7.15,0.2867,0.2920,2093
26,s2_medium_600.rou.xml,0.2276,261.83,7.08,0.2930,0.2774,2048
27,s2_medium_600.rou.xml,0.2106,273.96,7.09,0.2935,0.2635,2044
28,s2_medium_600.rou.xml,0.2676,238.16,7.00,0.2984,0.2503,2011
