cycle_step,we_waiting_time,ns_waiting_time,we_queue,ns_queue,completed_vehicles
0,113.0,0.0,7,0,17
1,120.0,0.0,7,0,20
2,127.0,0.0,7,0,19
3,101.0,0.0,7,0,20
4,107.0,0.0,7,0,20
5,111.0,0.0,7,0,20
6,119.0,0.0,7,0,20
7,117.0,0.0,7,0,20
8,110.0,0.0,7,0,20
9,113.0,0.0,7,0,20
10,112.0,0.0,7,0,20
11,121.0,0.0,7,0,20
12,107.0,0.0,7,0,20
13,110.0,0.0,7,0,20
14,114.0,0.0,7,0,20
15,109.0,0.0,7,0,20
16,118.0,0.0,7,0,20
17,117.0,0.0,7,0,20
18,120.0,0.0,7,0,19
19,109.0,0.0,7,0,20
20,103.0,0.0,7,0,20
21,100.0,0.0,7,0,20
22,107.0,0.0,7,0,20
23,120.0,0.0,7,0,20
24,109.0,0.0,7,0,20
25,119.0,0.0,7,0,20
26,114.0,0.0,7,0,19
27,105.0,0.0,7,0,21
28,121.0,0.0,7,0,19
29,107.0,0,7,0,20
30,114.0,0,7,0,11
31,111.0,0,7,0,10
32,106.0,0,7,0,11
33,101.0,0,7,0,11
34,131.0,0,7,0,9
35,113.0,0,7,0,10
36,112.0,0,7,0,10
37,115.0,0,7,0,10
38,130.0,0,7,0,9
39,118.0,0,7,0,10
40,115.0,0,7,0,10
41,114.0,0,7,0,10
42,119.0,0,7,0,10
43,112.0,0,7,0,10
44,120.0,0,7,0,10
45,116.0,0,7,0,10
46,111.0,0,7,0,10
47,118.0,0,7,0,10
48,119.0,0,7,0,10
49,113.0,0,7,0,10
50,113.0,0,7,0,10
51,108.0,0,7,0,10
52,125.0,0,7,0,10
53,107.0,0,7,0,10
54,120.0,0,7,0,10
55,112.0,0,7,0,10
56,112.0,0,7,0,10
57,116.0,0,7,0,10
58,122.0,0,7,0,9
59,109.0,0,7,0,10
60,102.0,0,7,0,11
61,114.0,0,7,0,10
62,123.0,0,7,0,10
63,107.0,0,7,0,10
64,116.0,0,7,0,10
65,109.0,0,7,0,10
66,111.0,0,7,0,10
67,106.0,0,7,0,10
68,102.0,0,7,0,10
69,114.0,0,7,0,10
70,113.0,0,7,0,10
71,117.0,0,7,0,10
72,110.0,0,7,0,10
73,109.0,0,7,0,10
74,124.0,0,7,0,9
75,116.0,0,7,0,10
76,113.0,0,7,0,10
77,126.0,0,7,0,9
78,110.0,0,7,0,10
79,111.0,0,7,0,11
80,108.0,0,7,0,10
81,123.0,0,7,0,9
82,116.0,0,7,0,10
83,117.0,0,7,0,10
84,118.0,0,7,0,10
85,112.0,0,7,0,10
86,118.0,0,7,0,10
87,109.0,0,7,0,10
88,113.0,0,7,0,10
89,113.0,0,7,0,10
90,0,0,0,0,7
