episode,timestamp,state,action,we_green,ns_green,we_waiting_time,ns_waiting_time,we_queue,ns_queue,reward
0,26.0,0_0_0,0,10,10,41.0,0.0,7,0,-0.2669230769230769
0,97.0,1_0_0,7,45,20,139.0,0.0,7,0,-0.7519014084507041
0,123.0,1_0_0,0,10,10,45.0,0.0,7,0,-0.28346153846153843
0,179.0,1_0_0,6,30,20,118.0,0.0,7,0,-0.647142857142857
0,215.0,1_0_0,4,10,20,112.0,0.0,7,0,-0.6175
0,251.0,1_0_0,1,20,10,42.0,0.0,7,0,-0.26749999999999996
0,287.0,1_0_0,1,20,10,49.0,2.0,7,1,-0.3225
0,323.0,1_0_0,1,20,10,45.0,0.0,7,0,-0.2833333333333333
0,349.0,1_0_0,0,10,10,43.0,0.0,6,0,-0.26461538461538464
0,385.0,1_0_0,4,10,20,109.0,0.0,7,0,-0.6025
0,411.0,1_0_0,0,10,10,46.0,0.0,7,0,-0.28846153846153844
0,457.0,1_0_0,2,30,10,57.0,0.0,7,0,-0.34195652173913044
0,503.0,1_0_0,2,30,10,46.0,0.0,7,0,-0.28695652173913044
0,549.0,1_0_0,2,30,10,46.0,0.0,7,0,-0.28695652173913044
0,610.0,1_0_0,3,45,10,58.0,0.0,7,0,-0.3467213114754098
0,656.0,1_0_0,5,20,20,115.0,0.0,7,0,-0.6326086956521738
0,727.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7423239436619719
0,783.0,1_0_0,6,30,20,114.0,0.0,7,0,-0.6266071428571428
0,844.0,1_0_0,3,45,10,61.0,0.0,7,0,-0.3617213114754098
0,890.0,1_0_0,5,20,20,111.0,0.0,7,0,-0.6119565217391304
0,951.0,1_0_0,3,45,10,70.0,0.0,7,0,-0.4072131147540983
0,997.0,1_0_0,2,30,10,42.0,0.0,7,0,-0.2676086956521739
0,1068.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
0,1114.0,1_0_0,2,30,10,47.0,0.0,7,0,-0.29195652173913045
0,1140.0,1_0_0,0,10,10,39.0,0.0,6,0,-0.24346153846153845
0,1166.0,1_0_0,0,10,10,48.0,0.0,7,0,-0.29846153846153844
0,1212.0,1_0_0,2,30,10,41.0,2.0,7,1,-0.2819565217391305
0,1238.0,1_0_0,0,10,10,45.0,0.0,7,0,-0.2846153846153846
0,1284.0,1_0_0,5,20,20,113.0,0.0,7,0,-0.6219565217391303
0,1310.0,1_0_0,0,10,10,56.0,0.0,7,0,-0.33961538461538465
0,1346.0,1_0_0,1,20,10,45.0,0.0,7,0,-0.2825
0,1392.0,1_0_0,2,30,10,47.0,0.0,7,0,-0.29195652173913045
0,1448.0,1_0_0,6,30,20,107.0,0.0,7,0,-0.5921428571428571
0,1504.0,1_0_0,6,30,20,116.0,0.0,7,0,-0.6360714285714285
0,1550.0,1_0_0,5,20,20,108.0,0.0,7,0,-0.5969565217391304
0,1596.0,1_0_0,2,30,10,48.0,0.0,7,0,-0.29695652173913045
0,1657.0,1_0_0,3,45,10,65.0,0.0,7,0,-0.38221311475409836
0,1693.0,1_0_0,1,20,10,51.0,0.0,7,0,-0.31333333333333335
0,1739.0,1_0_0,5,20,20,119.0,0.0,7,0,-0.6513043478260869
0,1795.0,1_0_0,6,30,20,112.0,0.0,7,0,-0.6166071428571429
0,1856.0,1_0_0,3,45,10,64.0,2.0,7,1,-0.3972131147540984
0,1917.0,1_0_0,3,45,10,62.0,1.0,7,1,-0.3827049180327869
0,1978.0,1_0_0,3,45,10,68.0,0.0,7,0,-0.3977049180327869
0,2034.0,1_0_0,6,30,20,116.0,0.0,7,0,-0.637142857142857
0,2070.0,1_0_0,1,20,10,33.0,0.0,6,0,-0.2125
0,2106.0,1_0_0,4,10,20,111.0,0,7,0,-0.6166666666666667
0,2152.0,1_0_0,5,20,20,110.0,0,7,0,-0.6134782608695653
0,2223.0,1_0_0,7,45,20,141.0,0,7,0,-0.7661267605633801
0,2259.0,1_0_0,4,10,20,108.0,0,7,0,-0.6058333333333333
0,2305.0,1_0_0,5,20,20,119.0,0,7,0,-0.6584782608695652
0,2361.0,1_0_0,6,30,20,109.0,0,7,0,-0.6069642857142857
0,2397.0,1_0_0,1,20,10,38.0,0,7,0,-0.25166666666666665
0,2423.0,1_0_0,0,10,10,52.0,0,7,0,-0.3253846153846154
0,2479.0,1_0_0,6,30,20,118.0,0,7,0,-0.6519642857142857
0,2535.0,1_0_0,6,30,20,114.0,0,7,0,-0.6319642857142856
0,2591.0,1_0_0,6,30,20,110.0,0,7,0,-0.6119642857142857
0,2627.0,1_0_0,1,20,10,41.0,0,6,0,-0.25666666666666665
0,2698.0,1_0_0,7,45,20,136.0,0,7,0,-0.7411267605633802
0,2744.0,1_0_0,5,20,20,112.0,0,7,0,-0.6234782608695653
0,2790.0,1_0_0,2,30,10,45.0,0,7,0,-0.2852173913043478
0,2826.0,1_0_0,4,10,20,113.0,0,7,0,-0.6308333333333332
0,2862.0,1_0_0,1,20,10,43.0,0,7,0,-0.2766666666666666
0,2908.0,1_0_0,5,20,20,118.0,0,7,0,-0.6534782608695652
0,2954.0,1_0_0,5,20,20,115.0,0,7,0,-0.6384782608695652
0,2980.0,1_0_0,0,10,10,40.0,0,7,0,-0.26423076923076927
0,3016.0,1_0_0,4,10,20,133.0,0,7,0,-0.7316666666666667
0,3062.0,1_0_0,5,20,20,112.0,0,7,0,-0.6234782608695653
0,3088.0,1_0_0,0,10,10,36.0,0,7,0,-0.24423076923076922
0,3144.0,1_0_0,6,30,20,121.0,0,7,0,-0.6675
0,3200.0,1_0_0,6,30,20,120.0,0,7,0,-0.6619642857142857
0,3261.0,1_0_0,3,45,10,64.0,0,7,0,-0.379672131147541
0,3307.0,1_0_0,2,30,10,44.0,0,7,0,-0.2802173913043478
0,3353.0,1_0_0,5,20,20,105.0,0,7,0,-0.5884782608695652
0,3409.0,1_0_0,6,30,20,0,0,0,0,0.00375
1,46.0,0_0_0,2,30,10,48.0,0.0,7,0,-0.29891304347826086
1,107.0,1_0_0,3,45,10,71.0,2.0,7,1,-0.4327049180327869
1,153.0,1_0_0,5,20,20,113.0,0.0,7,0,-0.6219565217391303
1,199.0,1_0_0,5,20,20,116.0,0.0,7,0,-0.6369565217391303
1,270.0,1_0_0,7,45,20,140.0,0.0,7,0,-0.7569014084507041
1,316.0,1_0_0,5,20,20,118.0,0.0,7,0,-0.6469565217391303
1,377.0,1_0_0,3,45,10,60.0,0.0,7,0,-0.35721311475409834
1,433.0,1_0_0,6,30,20,114.0,0.0,7,0,-0.6266071428571428
1,504.0,1_0_0,7,45,20,129.0,0.0,7,0,-0.7014788732394366
1,550.0,1_0_0,2,30,10,44.0,0.0,7,0,-0.27695652173913043
1,606.0,1_0_0,6,30,20,119.0,0.0,7,0,-0.6516071428571428
1,632.0,1_0_0,0,10,10,47.0,0.0,7,0,-0.29346153846153844
1,678.0,1_0_0,2,30,10,47.0,0.0,7,0,-0.2932608695652174
1,734.0,1_0_0,6,30,20,114.0,1.0,7,1,-0.6410714285714286
1,770.0,1_0_0,4,10,20,136.0,0.0,7,0,-0.7383333333333333
1,816.0,1_0_0,2,30,10,38.0,0.0,6,0,-0.23695652173913043
1,852.0,1_0_0,1,20,10,36.0,0.0,6,0,-0.22666666666666666
1,878.0,1_0_0,0,10,10,62.0,2.0,7,1,-0.3907692307692308
1,939.0,1_0_0,3,45,10,60.0,0.0,7,0,-0.35721311475409834
