episode,timestamp,state,action,we_green,ns_green,we_waiting_time,ns_waiting_time,we_queue,ns_queue,reward
eval_101,46.0,0_0_0,5,20,20,125.0,0.0,7,0,-0.6858695652173913
eval_101,117.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
eval_101,188.0,1_0_0,7,45,20,130.0,0.0,7,0,-0.7069014084507041
eval_101,259.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_101,330.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
eval_101,401.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_101,472.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_101,543.0,1_0_0,7,45,20,122.0,0.0,7,0,-0.6669014084507041
eval_101,614.0,1_0_0,7,45,20,130.0,0.0,7,0,-0.7069014084507041
eval_101,685.0,1_0_0,7,45,20,145.0,0.0,7,0,-0.7819014084507041
eval_101,756.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_101,827.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7214788732394366
eval_101,898.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
eval_101,969.0,1_0_0,7,45,20,142.0,0.0,7,0,-0.7673239436619718
eval_101,1040.0,1_0_0,7,45,20,148.0,0.0,7,0,-0.7969014084507041
eval_101,1111.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_101,1182.0,1_0_0,7,45,20,142.0,0.0,7,0,-0.7669014084507041
eval_101,1253.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
eval_101,1324.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7319014084507042
eval_101,1395.0,1_0_0,7,45,20,138.0,0.0,7,0,-0.7469014084507041
eval_101,1466.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_101,1537.0,1_0_0,7,45,20,130.0,0.0,7,0,-0.7073239436619718
eval_101,1608.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7414788732394366
eval_101,1679.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
eval_101,1750.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7319014084507042
eval_101,1821.0,1_0_0,7,45,20,138.0,0.0,7,0,-0.7469014084507041
eval_101,1892.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
eval_101,1963.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_101,2034.0,1_0_0,7,45,20,131.0,0.0,7,0,-0.7119014084507042
eval_101,2105.0,1_0_0,7,45,20,145.0,0,7,0,-0.7819014084507041
eval_101,2176.0,1_0_0,7,45,20,132.0,0,7,0,-0.7207042253521126
eval_101,2247.0,1_0_0,7,45,20,140.0,0,7,0,-0.7611267605633802
eval_101,2318.0,1_0_0,7,45,20,133.0,0,7,0,-0.7261267605633803
eval_101,2389.0,1_0_0,7,45,20,135.0,0,7,0,-0.7361267605633803
eval_101,2460.0,1_0_0,7,45,20,145.0,0,7,0,-0.7861267605633802
eval_101,2531.0,1_0_0,7,45,20,141.0,0,7,0,-0.7661267605633801
eval_101,2602.0,1_0_0,7,45,20,135.0,0,7,0,-0.7361267605633803
eval_101,2673.0,1_0_0,7,45,20,133.0,0,7,0,-0.7261267605633803
eval_101,2744.0,1_0_0,7,45,20,136.0,0,7,0,-0.7411267605633802
eval_101,2815.0,1_0_0,7,45,20,140.0,0,7,0,-0.7615492957746478
eval_101,2886.0,1_0_0,7,45,20,137.0,0,7,0,-0.7461267605633803
eval_101,2957.0,1_0_0,7,45,20,133.0,0,7,0,-0.7261267605633803
eval_101,3028.0,1_0_0,7,45,20,145.0,0,7,0,-0.7861267605633802
eval_101,3099.0,1_0_0,7,45,20,0,0,0,0,0.005915492957746478
eval_102,46.0,0_0_0,5,20,20,116.0,0.0,7,0,-0.6395652173913042
eval_102,117.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
eval_102,188.0,1_0_0,7,45,20,145.0,0.0,7,0,-0.7819014084507041
eval_102,259.0,1_0_0,7,45,20,140.0,0.0,7,0,-0.7569014084507041
eval_102,330.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_102,401.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7319014084507042
eval_102,472.0,1_0_0,7,45,20,139.0,0.0,7,0,-0.7523239436619718
eval_102,543.0,1_0_0,7,45,20,138.0,0.0,7,0,-0.7464788732394365
eval_102,614.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_102,685.0,1_0_0,7,45,20,138.0,0.0,7,0,-0.7469014084507041
eval_102,756.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7319014084507042
eval_102,827.0,1_0_0,7,45,20,123.0,0.0,7,0,-0.6714788732394366
eval_102,898.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7414788732394366
eval_102,969.0,1_0_0,7,45,20,128.0,0.0,7,0,-0.6969014084507041
eval_102,1040.0,1_0_0,7,45,20,127.0,0.0,7,0,-0.6914788732394366
eval_102,1111.0,1_0_0,7,45,20,134.0,1.0,7,1,-0.7414788732394367
eval_102,1182.0,1_0_0,7,45,20,143.0,0.0,7,0,-0.7723239436619718
eval_102,1253.0,1_0_0,7,45,20,131.0,0.0,7,0,-0.7114788732394366
eval_102,1324.0,1_0_0,7,45,20,147.0,0.0,7,0,-0.7923239436619718
eval_102,1395.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
eval_102,1466.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7223239436619718
eval_102,1537.0,1_0_0,7,45,20,128.0,0.0,7,0,-0.6964788732394366
eval_102,1608.0,1_0_0,7,45,20,131.0,0.0,7,0,-0.7119014084507042
eval_102,1679.0,1_0_0,7,45,20,143.0,0.0,7,0,-0.7723239436619718
eval_102,1750.0,1_0_0,7,45,20,121.0,0.0,7,0,-0.6619014084507041
eval_102,1821.0,1_0_0,7,45,20,126.0,1.0,7,1,-0.7014788732394367
eval_102,1892.0,1_0_0,7,45,20,127.0,0.0,7,0,-0.6923239436619718
eval_102,1963.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7364788732394366
eval_102,2034.0,1_0_0,7,45,20,130.0,0.0,7,0,-0.7069014084507041
eval_102,2105.0,1_0_0,7,45,20,133.0,0,7,0,-0.7219014084507042
eval_102,2176.0,1_0_0,7,45,20,141.0,0,7,0,-0.7665492957746478
eval_102,2247.0,1_0_0,7,45,20,152.0,0,7,0,-0.8215492957746479
eval_102,2318.0,1_0_0,7,45,20,132.0,0,7,0,-0.7211267605633802
eval_102,2389.0,1_0_0,7,45,20,128.0,0,7,0,-0.7011267605633802
eval_102,2460.0,1_0_0,7,45,20,133.0,0,7,0,-0.7261267605633803
eval_102,2531.0,1_0_0,7,45,20,132.0,0,7,0,-0.7211267605633802
eval_102,2602.0,1_0_0,7,45,20,152.0,0,7,0,-0.8215492957746479
eval_102,2673.0,1_0_0,7,45,20,138.0,0,7,0,-0.7511267605633802
eval_102,2744.0,1_0_0,7,45,20,134.0,0,7,0,-0.7315492957746479
eval_102,2815.0,1_0_0,7,45,20,137.0,0,7,0,-0.7461267605633803
eval_102,2886.0,1_0_0,7,45,20,133.0,0,7,0,-0.7261267605633803
eval_102,2957.0,1_0_0,7,45,20,127.0,0,7,0,-0.6961267605633803
eval_102,3028.0,1_0_0,7,45,20,133.0,0,7,0,-0.7257042253521127
eval_102,3099.0,1_0_0,7,45,20,0,0,0,0,0.005070422535211267
eval_103,46.0,0_0_0,5,20,20,111.0,0.0,7,0,-0.6139130434782609
eval_103,117.0,1_0_0,7,45,20,128.0,0.0,7,0,-0.6969014084507041
eval_103,188.0,1_0_0,7,45,20,126.0,0.0,7,0,-0.6864788732394366
eval_103,259.0,1_0_0,7,45,20,127.0,0.0,7,0,-0.6919014084507041
eval_103,330.0,1_0_0,7,45,20,139.0,0.0,7,0,-0.7519014084507041
eval_103,401.0,1_0_0,7,45,20,129.0,0.0,7,0,-0.7014788732394366
eval_103,472.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_103,543.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_103,614.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_103,685.0,1_0_0,7,45,20,152.0,0.0,7,0,-0.8173239436619718
eval_103,756.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_103,827.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7314788732394366
eval_103,898.0,1_0_0,7,45,20,137.0,1.0,7,1,-0.7569014084507042
eval_103,969.0,1_0_0,7,45,20,127.0,0.0,7,0,-0.6923239436619718
eval_103,1040.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7319014084507042
eval_103,1111.0,1_0_0,7,45,20,138.0,0.0,7,0,-0.7469014084507041
eval_103,1182.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_103,1253.0,1_0_0,7,45,20,128.0,0.0,7,0,-0.6964788732394366
eval_103,1324.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
eval_103,1395.0,1_0_0,7,45,20,144.0,0.0,7,0,-0.7773239436619718
eval_103,1466.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7314788732394366
eval_103,1537.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_103,1608.0,1_0_0,7,45,20,138.0,1.0,7,1,-0.7619014084507041
eval_103,1679.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_103,1750.0,1_0_0,7,45,20,139.0,0.0,7,0,-0.7519014084507041
eval_103,1821.0,1_0_0,7,45,20,124.0,0.0,7,0,-0.6764788732394366
eval_103,1892.0,1_0_0,7,45,20,122.0,0.0,7,0,-0.6664788732394366
eval_103,1963.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_103,2034.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_103,2105.0,1_0_0,7,45,20,137.0,0,7,0,-0.7419014084507042
eval_103,2176.0,1_0_0,7,45,20,133.0,0,7,0,-0.7257042253521127
eval_103,2247.0,1_0_0,7,45,20,133.0,0,7,0,-0.7261267605633803
eval_103,2318.0,1_0_0,7,45,20,138.0,0,7,0,-0.7511267605633802
eval_103,2389.0,1_0_0,7,45,20,135.0,0,7,0,-0.7361267605633803
eval_103,2460.0,1_0_0,7,45,20,137.0,0,7,0,-0.7461267605633803
eval_103,2531.0,1_0_0,7,45,20,132.0,0,7,0,-0.7211267605633802
eval_103,2602.0,1_0_0,7,45,20,140.0,0,7,0,-0.7611267605633802
eval_103,2673.0,1_0_0,7,45,20,132.0,0,7,0,-0.7211267605633802
eval_103,2744.0,1_0_0,7,45,20,140.0,0,7,0,-0.7615492957746478
eval_103,2815.0,1_0_0,7,45,20,136.0,0,7,0,-0.7411267605633802
eval_103,2886.0,1_0_0,7,45,20,135.0,0,7,0,-0.7361267605633803
eval_103,2957.0,1_0_0,7,45,20,131.0,0,7,0,-0.7161267605633803
eval_103,3028.0,1_0_0,7,45,20,140.0,0,7,0,-0.7611267605633802
eval_103,3099.0,1_0_0,7,45,20,0,0,0,0,0.002957746478873239
eval_104,46.0,0_0_0,5,20,20,114.0,0.0,7,0,-0.6289130434782608
eval_104,117.0,1_0_0,7,45,20,147.0,0.0,7,0,-0.7923239436619718
eval_104,188.0,1_0_0,7,45,20,129.0,0.0,7,0,-0.7014788732394366
eval_104,259.0,1_0_0,7,45,20,145.0,0.0,7,0,-0.7819014084507041
eval_104,330.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_104,401.0,1_0_0,7,45,20,137.0,0.0,7,0,-0.7419014084507042
eval_104,472.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
eval_104,543.0,1_0_0,7,45,20,140.0,0.0,7,0,-0.7569014084507041
eval_104,614.0,1_0_0,7,45,20,136.0,0.0,7,0,-0.7369014084507042
eval_104,685.0,1_0_0,7,45,20,147.0,0.0,7,0,-0.7919014084507041
eval_104,756.0,1_0_0,7,45,20,129.0,0.0,7,0,-0.7019014084507041
eval_104,827.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
eval_104,898.0,1_0_0,7,45,20,131.0,0.0,7,0,-0.7119014084507042
eval_104,969.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_104,1040.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
eval_104,1111.0,1_0_0,7,45,20,139.0,0.0,7,0,-0.7523239436619718
eval_104,1182.0,1_0_0,7,45,20,123.0,0.0,7,0,-0.6714788732394366
eval_104,1253.0,1_0_0,7,45,20,130.0,0.0,7,0,-0.7064788732394366
eval_104,1324.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_104,1395.0,1_0_0,7,45,20,131.0,0.0,7,0,-0.7119014084507042
eval_104,1466.0,1_0_0,7,45,20,140.0,0.0,7,0,-0.7569014084507041
eval_104,1537.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_104,1608.0,1_0_0,7,45,20,133.0,0.0,7,0,-0.7219014084507042
eval_104,1679.0,1_0_0,7,45,20,135.0,0.0,7,0,-0.7319014084507042
eval_104,1750.0,1_0_0,7,45,20,121.0,0.0,7,0,-0.6619014084507041
eval_104,1821.0,1_0_0,7,45,20,143.0,0.0,7,0,-0.7719014084507041
eval_104,1892.0,1_0_0,7,45,20,134.0,0.0,7,0,-0.7269014084507042
eval_104,1963.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7173239436619718
eval_104,2034.0,1_0_0,7,45,20,132.0,0.0,7,0,-0.7169014084507042
eval_104,2105.0,1_0_0,7,45,20,136.0,0,7,0,-0.7369014084507042
eval_104,2176.0,1_0_0,7,45,20,147.0,0,7,0,-0.7961267605633802
eval_104,2247.0,1_0_0,7,45,20,144.0,0,7,0,-0.7811267605633803
eval_104,2318.0,1_0_0,7,45,20,145.0,0,7,0,-0.7865492957746478
eval_104,2389.0,1_0_0,7,45,20,136.0,0,7,0,-0.7411267605633802
eval_104,2460.0,1_0_0,7,45,20,140.0,0,7,0,-0.7611267605633802
