episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
1,0,146.0,Low*Low*NoStarvation,45,Medium*Medium*NoStarvation,0.83,40.71,2,7,47,0.4896,0.4071,0.35,0.049,-0.2036,-0.07,0.0147,0.0,-0.2589,0.0,-0.0259,1.0,96
1,1,172.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,40.71,8.43,7,7,9,0.3462,0.0843,0.35,0.0346,-0.0421,-0.07,0.0104,0.0,-0.1018,0.0,-0.0102,1.0,26
1,2,198.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,8.43,5.71,7,7,9,0.3462,0.0571,0.35,0.0346,-0.0286,-0.07,0.0104,0.0,-0.0882,0.0,-0.0088,1.0,26
1,3,224.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,5.71,7.57,7,7,9,0.3462,0.0757,0.35,0.0346,-0.0379,-0.07,0.0104,0.0,-0.0975,-0.0088,-0.0177,1.0,26
1,4,290.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,7.57,26.14,7,7,29,0.4394,0.2614,0.35,0.0439,-0.1307,-0.07,0.0132,0.0,-0.1875,0.0,-0.0188,1.0,66
1,5,356.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,26.14,27.0,7,7,30,0.4545,0.27,0.35,0.0455,-0.135,-0.07,0.0136,0.0,-0.1914,0.0,-0.0191,1.0,66
1,6,402.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,27.0,15.14,7,7,20,0.4348,0.1514,0.35,0.0435,-0.0757,-0.07,0.013,0.0,-0.1327,0.0,-0.0133,1.0,46
1,7,468.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,15.14,26.71,7,7,31,0.4697,0.2671,0.35,0.047,-0.1336,-0.07,0.0141,0.0,-0.1895,-0.0188,-0.0358,1.0,66
1,8,494.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.71,7.86,7,7,8,0.3077,0.0786,0.35,0.0308,-0.0393,-0.07,0.0092,0.0,-0.1001,-0.0102,-0.0192,1.0,26
1,9,540.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,7.86,16.43,7,7,20,0.4348,0.1643,0.35,0.0435,-0.0821,-0.07,0.013,0.0,-0.1391,0.0,-0.0139,1.0,46
1,10,586.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,16.43,15.86,7,7,19,0.413,0.1586,0.35,0.0413,-0.0793,-0.07,0.0124,0.0,-0.1369,-0.0139,-0.0262,1.0,46
1,11,612.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,15.86,6.57,7,7,10,0.3846,0.0657,0.35,0.0385,-0.0329,-0.07,0.0115,0.0,-0.0913,-0.0177,-0.025,1.0,26
1,12,678.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,6.57,27.43,7,7,27,0.4091,0.2743,0.35,0.0409,-0.1371,-0.07,0.0123,0.0,-0.1949,-0.0358,-0.0517,1.0,66
1,13,774.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,27.43,41.71,7,7,42,0.4375,0.4171,0.35,0.0437,-0.2086,-0.07,0.0131,0.0,-0.2654,0.0,-0.0265,1.0,96
1,14,870.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,41.71,41.57,7,7,40,0.4167,0.4157,0.35,0.0417,-0.2079,-0.07,0.0125,0.0,-0.2654,-0.0265,-0.0516,1.0,96
1,15,916.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,41.57,16.71,7,7,19,0.413,0.1671,0.35,0.0413,-0.0836,-0.07,0.0124,0.0,-0.1412,-0.0133,-0.0261,1.0,46
1,16,982.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,16.71,25.86,7,7,28,0.4242,0.2586,0.35,0.0424,-0.1293,-0.07,0.0127,0.0,-0.1866,-0.0517,-0.0669,1.0,66
