episode,total_reward,average_reward,average_waiting_time,average_queue,total_throughput,throughput_rate,starvation_events,number_of_decisions,epsilon,action_10_count,action_20_count,action_30_count,action_45_count
1,-7.64,-0.17,22.04,6.84,781,0.2949,0,45,0.995,9,12,14,10
2,-7.6,-0.17,22.78,6.75,781,0.2959,0,44,0.99,7,11,17,9
3,-7.59,-0.18,24.15,6.86,781,0.2978,0,42,0.985,8,10,11,13
4,-7.73,-0.17,21.68,6.83,781,0.2944,0,46,0.98,15,10,8,13
5,-7.77,-0.17,20.93,6.89,781,0.2952,0,47,0.975,15,10,11,11
6,-7.91,-0.16,19.0,6.88,781,0.2927,0,51,0.97,16,15,12,8
7,-7.25,-0.18,24.41,6.83,781,0.304,0,40,0.966,5,10,14,11
8,-7.91,-0.16,21.13,6.73,781,0.2913,0,48,0.961,16,9,13,10
9,-7.8,-0.17,22.05,6.8,781,0.2926,0,46,0.956,15,8,9,14
10,-8.27,-0.15,17.04,6.82,781,0.286,0,57,0.951,21,17,13,6
11,-7.49,-0.18,24.63,6.83,781,0.2972,0,41,0.946,6,12,10,13
12,-8.03,-0.15,18.98,6.79,781,0.2894,0,52,0.942,15,18,12,7
13,-7.84,-0.16,20.76,6.79,781,0.2928,0,48,0.937,15,11,12,10
14,-7.8,-0.16,20.75,6.73,781,0.292,0,48,0.932,13,12,14,9
15,-7.91,-0.15,17.36,6.83,781,0.2934,0,54,0.928,19,17,12,6
16,-7.89,-0.16,21.16,6.71,781,0.2913,0,48,0.923,14,11,13,10
17,-7.49,-0.17,23.15,6.72,781,0.2971,0,43,0.918,10,10,9,14
18,-7.69,-0.18,23.97,6.77,781,0.2939,0,43,0.914,9,9,13,12
19,-7.35,-0.18,23.06,6.86,781,0.3018,0,42,0.909,12,8,7,15
20,-7.9,-0.16,20.17,6.88,781,0.2926,0,49,0.905,14,15,11,9
21,-7.5,-0.18,24.66,6.83,781,0.2976,0,41,0.9,9,7,12,13
22,-7.65,-0.17,21.34,6.83,781,0.2948,0,46,0.896,10,15,11,10
23,-7.61,-0.18,23.49,6.79,781,0.2965,0,43,0.891,12,8,9,14
24,-8.16,-0.16,19.42,6.79,781,0.2862,0,52,0.887,20,11,11,10
25,-7.92,-0.16,20.27,6.86,781,0.2916,0,49,0.882,14,13,14,8
26,-7.71,-0.17,22.4,6.78,781,0.2952,0,45,0.878,13,9,11,12
27,-7.9,-0.15,18.32,6.87,781,0.2932,0,52,0.873,22,11,8,11
28,-7.93,-0.16,20.51,6.76,781,0.2902,0,49,0.869,19,8,10,12
29,-7.75,-0.17,21.8,6.78,781,0.2929,0,46,0.865,14,9,10,13
30,-7.95,-0.16,19.83,6.8,781,0.2915,0,50,0.86,21,7,10,12
31,-7.67,-0.17,21.32,6.85,781,0.2957,0,46,0.856,10,15,11,10
32,-7.76,-0.16,20.22,6.85,781,0.2958,0,48,0.852,14,16,6,12
33,-7.88,-0.16,21.0,6.77,781,0.292,0,48,0.848,14,14,9,11
34,-7.86,-0.16,19.52,6.84,781,0.2919,0,50,0.843,15,15,11,9
35,-8.03,-0.16,19.42,6.86,781,0.2897,0,51,0.839,21,7,13,10
36,-7.86,-0.16,20.04,6.86,781,0.2924,0,49,0.835,20,4,15,10
37,-7.81,-0.17,21.42,6.72,781,0.2917,0,47,0.831,15,11,9,12
38,-8.21,-0.15,18.55,6.72,781,0.2864,0,54,0.827,26,6,10,12
39,-8.1,-0.16,20.58,6.76,781,0.2868,0,50,0.822,17,14,5,14
40,-7.85,-0.16,21.03,6.69,781,0.2924,0,48,0.818,15,13,9,11
41,-7.68,-0.16,20.0,6.85,781,0.2963,0,48,0.814,17,12,6,13
42,-8.09,-0.15,18.74,6.74,781,0.2868,0,53,0.81,19,13,14,7
43,-7.89,-0.16,20.88,6.83,781,0.2917,0,48,0.806,14,15,6,13
44,-7.89,-0.16,19.59,6.8,781,0.2919,0,50,0.802,17,11,13,9
45,-8.14,-0.15,18.08,6.89,781,0.2886,0,54,0.798,17,16,16,5
46,-7.76,-0.16,19.74,6.84,781,0.2942,0,49,0.794,19,10,7,13
47,-7.93,-0.16,19.03,6.84,781,0.2915,0,51,0.79,20,9,12,10
48,-8.44,-0.14,16.42,6.88,781,0.2844,0,59,0.786,31,9,9,10
49,-8.43,-0.14,16.65,6.75,781,0.2821,0,59,0.782,28,12,10,9
50,-8.41,-0.15,17.03,6.84,781,0.2835,0,58,0.778,24,17,10,7
