episode,total_reward,average_reward,average_waiting_time,average_queue,total_throughput,throughput_rate,starvation_events,number_of_decisions,epsilon,action_10_count,action_20_count,action_30_count,action_45_count
1,-7.63,-0.17,21.89,6.89,781,0.2973,0,45,0.995,13,7,14,11
2,-7.21,-0.19,26.11,6.82,781,0.3032,0,38,0.99,4,9,11,14
3,-7.73,-0.16,19.72,6.82,781,0.2944,0,49,0.985,15,15,9,10
4,-7.64,-0.17,23.01,6.7,781,0.2949,0,44,0.98,13,7,11,13
5,-7.59,-0.17,22.56,6.84,781,0.297,0,44,0.975,11,9,13,11
6,-7.36,-0.18,25.2,6.67,781,0.3012,0,40,0.97,3,11,15,11
7,-7.96,-0.16,19.98,6.74,781,0.2896,0,50,0.966,19,12,7,12
8,-7.89,-0.15,18.95,6.84,781,0.2919,0,51,0.961,16,16,11,8
9,-7.42,-0.19,25.14,6.83,781,0.3004,0,40,0.956,8,7,12,13
10,-8.09,-0.16,19.12,6.81,781,0.2879,0,52,0.951,17,14,12,9
11,-7.66,-0.16,20.72,6.83,781,0.2963,0,47,0.946,16,8,12,11
12,-7.73,-0.16,20.92,6.83,781,0.2954,0,47,0.942,15,10,11,11
13,-7.52,-0.18,24.73,6.83,781,0.298,0,41,0.937,8,8,12,13
14,-7.52,-0.18,23.95,6.79,781,0.2972,0,42,0.932,11,8,8,15
15,-7.61,-0.17,21.96,6.8,781,0.2965,0,45,0.928,12,10,11,12
16,-7.92,-0.16,19.7,6.84,781,0.291,0,50,0.923,15,14,13,8
17,-8.06,-0.16,18.88,6.88,781,0.2888,0,52,0.918,16,14,16,6
18,-8.06,-0.16,19.8,6.73,781,0.2883,0,51,0.914,18,15,7,11
19,-7.84,-0.17,22.17,6.78,781,0.2928,0,46,0.909,11,10,15,10
20,-7.67,-0.17,22.22,6.78,781,0.2948,0,45,0.905,13,10,10,12
21,-8.24,-0.15,17.56,6.77,781,0.2856,0,56,0.9,26,8,13,9
22,-7.43,-0.17,22.61,6.84,781,0.2995,0,43,0.896,8,13,11,11
23,-7.99,-0.16,19.57,6.76,781,0.2887,0,51,0.891,17,15,9,10
24,-7.56,-0.17,22.42,6.8,781,0.2988,0,44,0.887,10,11,11,12
25,-8.06,-0.16,19.69,6.8,781,0.289,0,51,0.882,14,17,11,9
26,-7.91,-0.16,19.6,6.86,781,0.2915,0,50,0.878,18,11,11,10
27,-7.66,-0.17,21.38,6.8,781,0.2959,0,46,0.873,11,11,16,8
28,-7.58,-0.17,22.47,6.86,781,0.298,0,44,0.869,10,10,14,10
29,-7.96,-0.17,21.23,6.85,781,0.2897,0,48,0.865,18,9,8,13
30,-8.1,-0.15,17.47,6.84,781,0.2888,0,55,0.86,18,19,12,6
31,-7.75,-0.17,21.73,6.85,781,0.2943,0,46,0.856,13,10,11,12
32,-8.09,-0.16,18.99,6.88,781,0.288,0,52,0.852,23,9,8,12
33,-7.72,-0.16,20.12,6.85,781,0.2953,0,48,0.848,15,11,12,10
34,-8.03,-0.16,19.55,6.8,781,0.29,0,51,0.843,20,7,14,10
35,-7.99,-0.15,18.23,6.79,781,0.2906,0,53,0.839,24,10,8,11
36,-8.14,-0.15,17.52,6.87,781,0.2884,0,55,0.835,24,13,8,10
37,-7.94,-0.16,19.13,6.84,781,0.2912,0,51,0.831,18,10,15,8
38,-8.06,-0.15,18.49,6.79,781,0.2885,0,53,0.827,18,14,14,7
39,-8.1,-0.16,19.72,6.82,781,0.2872,0,51,0.822,19,11,9,12
40,-7.58,-0.17,22.58,6.77,781,0.2966,0,44,0.818,13,7,11,13
41,-8.32,-0.15,17.17,6.79,781,0.2841,0,57,0.814,27,10,11,9
42,-7.82,-0.17,22.14,6.78,781,0.2931,0,46,0.81,12,10,15,9
43,-8.04,-0.16,19.62,6.8,781,0.2894,0,51,0.806,22,8,9,12
44,-7.67,-0.16,20.76,6.77,781,0.2949,0,47,0.802,15,11,8,13
45,-8.07,-0.16,19.76,6.75,781,0.2879,0,51,0.798,23,11,2,15
46,-7.73,-0.17,21.69,6.78,781,0.2944,0,46,0.794,16,5,12,13
47,-7.76,-0.16,20.32,6.88,781,0.2954,0,48,0.79,19,7,10,12
48,-8.2,-0.15,17.35,6.79,781,0.2879,0,56,0.786,22,15,13,6
49,-7.86,-0.15,18.91,6.8,781,0.2924,0,51,0.782,18,13,10,10
50,-7.87,-0.16,20.92,6.77,781,0.2913,0,48,0.778,18,7,11,12
