episode,total_reward,average_reward,average_waiting_time,average_queue,total_throughput,throughput_rate,starvation_events,number_of_decisions,epsilon,action_10_count,action_20_count,action_30_count,action_45_count
1,-10.64,-0.18,24.43,7.02,1100,0.3032,0,58,0.995,12,14,15,17
2,-10.74,-0.16,20.32,6.98,1082,0.3001,0,66,0.99,21,16,17,12
3,-10.7,-0.17,21.76,6.98,1089,0.3018,0,63,0.985,16,16,19,12
4,-10.91,-0.16,19.84,6.99,1088,0.2991,0,68,0.98,21,21,14,12
5,-10.76,-0.18,23.1,6.97,1118,0.3033,0,61,0.975,14,14,18,15
6,-10.94,-0.17,20.99,6.95,1099,0.299,0,66,0.97,21,17,13,15
7,-10.7,-0.18,23.46,7.02,1103,0.3022,0,60,0.966,12,15,19,14
8,-10.54,-0.18,23.55,7.0,1100,0.3044,0,59,0.961,12,15,17,15
9,-10.84,-0.17,22.03,7.03,1102,0.3013,0,63,0.956,18,14,16,15
10,-10.86,-0.16,19.23,7.0,1080,0.2997,0,69,0.951,25,18,14,12
11,-11.01,-0.16,19.61,7.0,1076,0.2969,0,69,0.946,27,13,17,12
12,-10.84,-0.16,20.52,7.05,1080,0.2995,0,66,0.942,21,16,17,12
13,-10.69,-0.18,24.1,6.98,1114,0.3024,0,59,0.937,12,16,13,18
14,-10.84,-0.16,20.14,7.0,1086,0.2998,0,67,0.932,20,19,17,11
15,-10.84,-0.17,21.75,6.94,1091,0.2994,0,64,0.928,21,15,11,17
16,-10.78,-0.17,22.44,7.06,1085,0.2996,0,62,0.923,24,5,15,18
17,-10.89,-0.16,20.19,7.01,1082,0.2979,0,67,0.918,22,16,17,12
18,-10.85,-0.17,22.28,6.97,1099,0.2996,0,63,0.914,21,9,17,16
19,-10.76,-0.18,23.6,7.0,1111,0.3027,0,60,0.909,18,11,11,20
20,-10.94,-0.16,20.37,7.0,1091,0.2979,0,67,0.905,27,9,16,15
21,-11.06,-0.16,19.8,6.99,1088,0.2969,0,69,0.9,27,11,19,12
22,-10.88,-0.17,22.28,7.03,1112,0.3015,0,63,0.896,15,17,17,14
23,-11.04,-0.16,20.13,7.0,1089,0.2977,0,68,0.891,27,14,11,16
24,-10.77,-0.16,20.45,6.95,1084,0.2998,0,66,0.887,23,16,12,15
25,-10.87,-0.17,22.22,7.02,1102,0.3004,0,63,0.882,17,17,13,16
26,-10.95,-0.17,21.41,7.02,1106,0.2997,0,65,0.878,21,13,16,15
27,-10.71,-0.17,21.78,7.02,1091,0.3015,0,63,0.873,22,14,8,19
28,-10.99,-0.15,18.64,7.0,1065,0.2953,0,71,0.869,32,12,14,13
29,-11.02,-0.16,18.66,7.04,1071,0.2962,0,71,0.865,32,16,7,16
30,-10.81,-0.17,21.46,7.0,1084,0.2999,0,64,0.86,23,11,14,16
31,-10.75,-0.17,20.83,6.98,1081,0.3003,0,65,0.856,27,7,15,16
32,-10.81,-0.16,19.93,7.01,1083,0.2998,0,67,0.852,27,13,11,16
33,-10.61,-0.18,23.07,7.03,1092,0.3025,0,60,0.848,16,12,16,16
34,-11.1,-0.15,18.57,6.97,1075,0.2952,0,72,0.843,31,14,15,12
35,-11.03,-0.15,18.35,7.0,1076,0.2971,0,72,0.839,36,11,9,16
36,-10.81,-0.17,21.51,7.02,1096,0.3008,0,64,0.835,21,12,16,15
37,-10.78,-0.17,21.41,6.98,1086,0.3005,0,64,0.831,19,16,15,14
38,-10.87,-0.17,21.7,7.02,1100,0.3002,0,64,0.827,16,21,12,15
39,-11.22,-0.15,17.26,6.97,1067,0.2926,0,76,0.822,37,12,17,10
40,-10.93,-0.17,21.31,6.97,1098,0.3,0,65,0.818,22,14,13,16
41,-11.05,-0.16,20.29,6.97,1086,0.2961,0,68,0.814,23,17,15,13
42,-11.02,-0.16,19.18,7.01,1081,0.297,0,70,0.81,29,13,15,13
43,-10.95,-0.16,19.09,6.97,1080,0.2975,0,70,0.806,29,12,17,12
44,-10.96,-0.16,20.33,7.04,1080,0.2974,0,67,0.802,22,19,12,14
45,-11.03,-0.16,19.24,6.96,1082,0.2964,0,70,0.798,32,11,11,16
46,-10.77,-0.17,20.94,7.0,1089,0.3008,0,65,0.794,26,8,15,16
47,-10.93,-0.16,19.49,6.97,1079,0.2977,0,69,0.79,25,17,15,12
48,-11.18,-0.16,19.14,7.01,1085,0.296,0,71,0.786,29,15,14,13
49,-11.01,-0.16,20.64,7.0,1090,0.2977,0,67,0.782,24,12,18,13
50,-11.13,-0.15,18.58,7.03,1075,0.2944,0,72,0.778,30,17,12,13
