episode,decision,simulation_time,state,action,next_state,old_waiting_time,new_waiting_time,old_queue,new_queue,throughput_during_transition,throughput_rate,normalized_wait,normalized_queue,normalized_throughput,wait_contribution,queue_contribution,throughput_contribution,starvation_penalty,reward,q_value_before,q_value_after,epsilon,transition_duration
1,0,116.0,Low*Low*NoStarvation,30,Medium*Medium*NoStarvation,0.83,26.71,2,7,31,0.4697,0.2671,0.35,0.047,-0.1336,-0.07,0.0141,0.0,-0.1895,0.0,-0.0189,1.0,66
1,1,212.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,26.71,41.0,7,7,46,0.4792,0.41,0.35,0.0479,-0.205,-0.07,0.0144,0.0,-0.2606,0.0,-0.0261,1.0,96
1,2,258.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,41.0,14.43,7,7,21,0.4565,0.1443,0.35,0.0457,-0.0721,-0.07,0.0137,0.0,-0.1284,0.0,-0.0128,1.0,46
1,3,354.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,14.43,40.57,7,7,44,0.4583,0.4057,0.35,0.0458,-0.2029,-0.07,0.0137,0.0,-0.2591,0.0,-0.0259,1.0,96
1,4,380.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,40.57,6.57,7,7,9,0.3462,0.0657,0.35,0.0346,-0.0329,-0.07,0.0104,0.0,-0.0925,0.0,-0.0092,1.0,26
1,5,476.0,Low*Medium*NoStarvation,45,Medium*Medium*NoStarvation,6.57,43.14,7,7,42,0.4375,0.4314,0.35,0.0437,-0.2157,-0.07,0.0131,0.0,-0.2726,-0.0259,-0.0506,1.0,96
1,6,572.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,43.14,43.14,7,7,41,0.4271,0.4314,0.35,0.0427,-0.2157,-0.07,0.0128,0.0,-0.2729,-0.0261,-0.0507,1.0,96
1,7,668.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,43.14,41.0,7,7,43,0.4479,0.41,0.35,0.0448,-0.205,-0.07,0.0134,0.0,-0.2616,-0.0507,-0.0718,1.0,96
1,8,734.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,41.0,26.29,7,7,28,0.4242,0.2629,0.35,0.0424,-0.1314,-0.07,0.0127,0.0,-0.1887,0.0,-0.0189,1.0,66
1,9,760.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.29,7.43,7,7,9,0.3462,0.0743,0.35,0.0346,-0.0371,-0.07,0.0104,0.0,-0.0968,-0.0092,-0.018,1.0,26
1,10,826.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,7.43,27.14,7,7,28,0.4242,0.2714,0.35,0.0424,-0.1357,-0.07,0.0127,0.0,-0.193,0.0,-0.0205,1.0,66
1,11,922.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,27.14,40.29,7,7,42,0.4375,0.4029,0.35,0.0437,-0.2014,-0.07,0.0131,0.0,-0.2583,-0.0718,-0.0916,1.0,96
1,12,1018.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,40.29,42.71,7,7,39,0.4062,0.4271,0.35,0.0406,-0.2136,-0.07,0.0122,0.0,-0.2714,-0.0916,-0.1108,1.0,96
1,13,1064.0,Medium*Medium*NoStarvation,20,Low*Medium*NoStarvation,42.71,16.14,7,7,10,0.2174,0.1614,0.35,0.0217,-0.0807,-0.07,0.0065,0.0,-0.1442,-0.0128,-0.026,1.0,46
1,14,1130.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,16.14,27.29,7,7,15,0.2273,0.2729,0.35,0.0227,-0.1364,-0.07,0.0068,0.0,-0.1996,-0.0205,-0.04,1.0,66
1,15,1226.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,27.29,43.14,7,7,22,0.2292,0.4314,0.35,0.0229,-0.2157,-0.07,0.0069,0.0,-0.2788,-0.1108,-0.1292,1.0,96
1,16,1292.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,43.14,26.14,7,7,15,0.2273,0.2614,0.35,0.0227,-0.1307,-0.07,0.0068,0.0,-0.1939,-0.0189,-0.038,1.0,66
1,17,1318.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.14,9.0,7,7,4,0.1538,0.09,0.35,0.0154,-0.045,-0.07,0.0046,0.0,-0.1104,-0.018,-0.0272,1.0,26
1,18,1344.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,9.0,7.29,7,7,4,0.1538,0.0729,0.35,0.0154,-0.0364,-0.07,0.0046,0.0,-0.1018,0.0,-0.0102,1.0,26
1,19,1390.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,7.29,16.0,7,7,10,0.2174,0.16,0.35,0.0217,-0.08,-0.07,0.0065,0.0,-0.1435,0.0,-0.0143,1.0,46
1,20,1416.0,Low*Medium*NoStarvation,10,Low*Medium*NoStarvation,16.0,8.0,7,7,4,0.1538,0.08,0.35,0.0154,-0.04,-0.07,0.0046,0.0,-0.1054,-0.0102,-0.0206,1.0,26
1,21,1482.0,Low*Medium*NoStarvation,30,Medium*Medium*NoStarvation,8.0,26.0,7,7,15,0.2273,0.26,0.35,0.0227,-0.13,-0.07,0.0068,0.0,-0.1932,-0.04,-0.0576,1.0,66
1,22,1578.0,Medium*Medium*NoStarvation,45,Medium*Medium*NoStarvation,26.0,41.57,7,7,23,0.2396,0.4157,0.35,0.024,-0.2079,-0.07,0.0072,0.0,-0.2707,-0.1292,-0.1457,1.0,96
1,23,1644.0,Medium*Medium*NoStarvation,30,Medium*Medium*NoStarvation,41.57,26.71,7,7,15,0.2273,0.2671,0.35,0.0227,-0.1336,-0.07,0.0068,0.0,-0.1968,-0.038,-0.0562,1.0,66
1,24,1670.0,Medium*Medium*NoStarvation,10,Low*Medium*NoStarvation,26.71,6.71,7,7,4,0.1538,0.0671,0.35,0.0154,-0.0336,-0.07,0.0046,0.0,-0.099,-0.0272,-0.0357,1.0,26
1,25,1716.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,6.71,15.43,7,7,10,0.2174,0.1543,0.35,0.0217,-0.0771,-0.07,0.0065,0.0,-0.1406,-0.0143,-0.0283,1.0,46
1,26,1762.0,Low*Medium*NoStarvation,20,Low*Medium*NoStarvation,15.43,15.86,7,7,10,0.2174,0.1586,0.35,0.0217,-0.0793,-0.07,0.0065,0.0,-0.1428,-0.0283,-0.0416,1.0,46
