episode,total_reward,average_reward,average_waiting_time,average_queue,total_throughput,throughput_rate,starvation_events,number_of_decisions,epsilon,action_10_count,action_20_count,action_30_count,action_45_count
1,-7.41,-0.19,25.12,6.83,781,0.3008,0,40,0.995,6,9,13,12
2,-7.66,-0.17,21.44,6.78,781,0.2948,0,46,0.99,10,13,13,10
3,-7.56,-0.18,23.2,6.84,781,0.2974,0,43,0.985,10,9,12,12
4,-7.47,-0.17,21.43,6.76,781,0.299,0,45,0.98,14,7,12,12
5,-7.36,-0.18,23.23,6.81,781,0.3008,0,42,0.975,9,9,12,12
6,-7.61,-0.17,21.23,6.8,781,0.2957,0,46,0.97,15,7,13,11
7,-8.01,-0.16,19.38,6.86,781,0.2908,0,51,0.966,18,12,12,9
8,-7.71,-0.16,20.37,6.73,781,0.2934,0,48,0.961,17,7,14,10
9,-7.56,-0.17,21.52,6.89,781,0.2983,0,45,0.956,14,11,6,14
10,-7.68,-0.16,20.79,6.83,781,0.2963,0,47,0.951,12,14,12,9
11,-7.54,-0.17,22.34,6.82,781,0.2985,0,44,0.946,11,8,14,11
12,-7.92,-0.16,20.25,6.86,781,0.2915,0,49,0.942,14,14,11,10
13,-8.0,-0.16,20.11,6.8,781,0.2896,0,50,0.937,16,10,16,8
14,-7.79,-0.16,19.76,6.86,781,0.2943,0,49,0.932,14,13,14,8
15,-7.63,-0.17,22.74,6.82,781,0.2959,0,44,0.928,8,11,16,9
16,-7.78,-0.17,21.4,6.72,781,0.2927,0,47,0.923,13,12,11,11
17,-7.87,-0.16,20.28,6.73,781,0.2914,0,49,0.918,15,12,13,9
18,-7.81,-0.17,22.16,6.74,781,0.2924,0,46,0.914,14,10,10,12
19,-7.93,-0.16,19.02,6.86,781,0.2927,0,51,0.909,19,12,10,10
20,-7.82,-0.16,20.77,6.73,781,0.292,0,48,0.905,16,11,10,11
21,-7.41,-0.18,24.15,6.83,781,0.3011,0,41,0.9,7,12,8,14
22,-8.23,-0.15,17.85,6.85,781,0.2857,0,55,0.896,22,13,12,8
23,-7.47,-0.17,22.89,6.77,781,0.2993,0,43,0.891,14,6,8,15
24,-7.76,-0.17,21.75,6.87,781,0.2942,0,46,0.887,12,12,10,12
25,-7.7,-0.17,22.15,6.89,781,0.2947,0,45,0.882,13,10,8,14
26,-8.05,-0.16,19.72,6.73,781,0.2893,0,51,0.878,21,10,8,12
27,-7.68,-0.16,20.07,6.81,781,0.2958,0,48,0.873,14,14,9,11
28,-7.98,-0.16,19.81,6.86,781,0.2912,0,50,0.869,15,15,11,9
29,-7.85,-0.16,19.48,6.82,781,0.2926,0,50,0.865,14,19,8,9
30,-7.93,-0.16,19.6,6.86,781,0.292,0,50,0.86,19,11,9,11
31,-7.92,-0.15,18.43,6.87,781,0.2921,0,52,0.856,20,12,11,9
32,-7.75,-0.16,20.85,6.87,781,0.2944,0,47,0.852,13,13,10,11
33,-7.76,-0.16,20.6,6.75,781,0.292,0,48,0.848,12,16,11,9
34,-7.61,-0.17,21.84,6.84,781,0.2972,0,45,0.843,12,9,14,10
35,-7.93,-0.15,18.39,6.9,781,0.2923,0,52,0.839,17,15,13,7
36,-7.89,-0.16,20.44,6.71,781,0.2907,0,49,0.835,15,13,11,10
37,-7.75,-0.17,21.7,6.83,781,0.2943,0,46,0.831,14,8,12,12
38,-8.44,-0.14,16.56,6.83,781,0.2829,0,59,0.827,25,15,14,5
39,-8.14,-0.16,19.49,6.75,781,0.2866,0,52,0.822,21,10,11,10
40,-8.15,-0.15,17.02,6.88,781,0.2886,0,56,0.818,21,18,11,6
41,-8.07,-0.16,19.54,6.84,781,0.2893,0,51,0.814,20,10,9,12
42,-7.76,-0.16,19.68,6.86,781,0.2947,0,49,0.81,15,10,16,8
43,-8.27,-0.15,18.24,6.73,781,0.2847,0,55,0.806,20,16,10,9
44,-8.01,-0.16,19.54,6.76,781,0.2892,0,51,0.802,18,12,11,10
45,-8.34,-0.14,15.77,6.83,781,0.2842,0,60,0.798,29,14,9,8
46,-7.85,-0.16,20.85,6.75,781,0.292,0,48,0.794,17,7,13,11
47,-8.09,-0.16,18.99,6.87,781,0.2895,0,52,0.79,22,11,6,13
48,-8.32,-0.15,17.76,6.8,781,0.2843,0,56,0.786,23,13,13,7
49,-7.71,-0.16,21.09,6.72,781,0.2937,0,47,0.782,15,10,9,13
50,-8.02,-0.15,17.64,6.85,781,0.2903,0,54,0.778,20,14,13,7
