episode,total_reward,epsilon
0,-34.17882770074767,1.0
1,-30.05710927764808,0.9806122448979592
2,-31.592045840985193,0.9612244897959183
3,-33.84330388295929,0.9418367346938775
4,-35.23425583413488,0.9224489795918367
5,-30.14749206857278,0.903061224489796
6,-31.351237220874463,0.883673469387755
7,-33.207204777957735,0.8642857142857143
8,-32.30294228278824,0.8448979591836735
9,-33.405964629866666,0.8255102040816327
10,-33.202973749390004,0.8061224489795918
11,-29.69027503310522,0.786734693877551
12,-36.15437798975258,0.7673469387755102
13,-27.2202656520202,0.7479591836734694
14,-28.380279925619845,0.7285714285714286
15,-30.471125910340785,0.7091836734693877
16,-28.329487155355324,0.689795918367347
17,-29.09723512998969,0.6704081632653061
18,-29.167492165421947,0.6510204081632653
19,-25.484422637263716,0.6316326530612245
20,-30.442293257415358,0.6122448979591837
21,-30.844902311965615,0.5928571428571429
22,-27.19165091647349,0.573469387755102
23,-30.28408517142661,0.5540816326530612
24,-26.445615573524112,0.5346938775510204
25,-30.72495162639304,0.5153061224489797
26,-27.13985733281388,0.4959183673469387
27,-25.300893427252102,0.476530612244898
28,-24.033792950927058,0.4571428571428572
29,-33.337593061567695,0.43775510204081636
30,-30.774570586015862,0.41836734693877553
31,-27.858291140146434,0.3989795918367347
32,-27.037911514585264,0.3795918367346939
33,-24.220186694439718,0.36020408163265305
34,-32.526171135361594,0.3408163265306122
35,-23.056998951464138,0.3214285714285714
36,-28.76223209447853,0.30204081632653057
37,-23.150560817524987,0.28265306122448974
38,-23.497419522664426,0.263265306122449
39,-23.82424395321983,0.2438775510204082
40,-23.805596389805107,0.22448979591836737
41,-23.165639211293495,0.20510204081632655
42,-29.95976169658445,0.18571428571428572
43,-32.46397718240101,0.1663265306122449
44,-23.141033907954547,0.14693877551020407
45,-23.148687436818218,0.12755102040816324
46,-31.46125587369274,0.10816326530612241
47,-24.814250014037842,0.08877551020408159
48,-22.116146737369956,0.06938775510204076
49,-29.63304730980139,0.050000000000000044
